Unnamed: 0,created_at,default_profile,description,favourites_count,followers_count,friends_count,id,location,screen_name,statuses_count,verified,account_age_days,account_type
13,2011-06-08 03:55:18,False,soon,49058,1950090,1574,313087874,he/him,JacobWhitesides,81833,True,3360,human
14,2010-11-03 15:40:20,False,"Femminista, animalista, antiproibizionista... E altre -ista che ora non ricordo. Ora dirigo il sito de #LeIene 👊🏿",4071,252142,562,211550281,Italy,giuliainnocenzi,6029,True,3576,human
15,2012-08-20 11:58:04,False,"Mi viene da vomitare.  

                                                                                
Dove sono le mie Jordan?",81967,5281,581,769392715,Oblio,RichiMasu,106263,False,2920,human
16,2016-09-03 16:17:01,True,amfolowback,139,0,0,772106131875500032,unknown,NagahamaMazie,272,False,1445,human
17,2016-09-04 19:48:22,True,"I'm TeamFolloBack.. All people who mention me, I will retweet that.. I will follow back people who follo me and unfollow back who unfollow me.. CLICKFOLLOW!",41,0,0,772521707810787328,unknown,PenmetsaCari,105,False,1444,human
18,2012-01-28 11:40:52,False,A/V tech and director. Former self proclaimed greatest speedrunner of all time,12686,2365,296,476691783,unknown,CavemanDCJ,18309,False,3125,human
19,2011-10-03 22:39:21,True,,510,6,33,384565337,unknown,ChuckBaechel,639,False,3242,bot
20,2011-05-27 00:28:35,False,here to tell how i feel right?,534,37278,455,305922144,└A,D8Ricky,9074,True,3372,human
21,2013-02-15 21:29:28,True,You love it harshly? Come in! 💛💛💛 https://t.co/EOjEF5JgaK,187,4,0,1183842404,unknown,ValdakR,23,False,2741,bot
22,2011-02-17 22:21:29,True,"Gratitud, sentido del humor y locuras.",38493,7383658,3016,253755500,unknown,JuanpaZurita,21947,True,3470,human
23,2011-09-05 00:42:39,False,@WashingtonPost reporter: Now I write about DC government. I used to write about religion in America. Author of Conning Harvard (@Lyons_Press). Balloon twister.,4282,9179,1275,368050288,"Washington, DC",JulieZauzmer,11104,True,3271,human
24,2008-04-17 08:17:17,False,"Democratic Action Party, for the people tanpa mengira kaum dan agama.",588,163616,115,14418045,Malaysia,dapmalaysia,77975,True,4507,human
25,2011-05-10 20:58:35,False,"Singer, Songwriter, Actress 🎬 9x Scenebot Honorable Mention and 12x Top Select",29136,585,900,296484990,United States,KaitlynTck,8803,False,3388,human
26,2017-11-19 00:54:14,True,A bot that tweets Winamp skins you can load in your browser.  @captbaritone made me. You may also like @milkdroppresets by @jnberg16.,307,3745,2,932049341862240256,The Internet,winampskins,2371,False,1004,bot
27,2009-12-25 20:10:59,True,Small. Loud. Cute. Proud.,9678,137,140,99352713,unknown,mykidsfault,7043,False,3889,human
28,2012-03-09 01:00:51,True,رئيس القسم الرياضي بجريدة الجزيرة السعودية,171,249184,984,519045260,الرياض,azizhadlaq2010,26368,False,3085,human
29,2010-02-18 10:52:28,False,I am here just to express myself ...,7612,5362,355,115343506,"Lahore, Pakistan",najamwalikhan,10273,False,3835,human
30,2013-10-31 16:21:41,True,I teach earthlings. All my tweets are my own thoughts and opinions with a bit of sarcasm.,6184,704,598,2166882457,unknown,TheOnlyMsV,5675,False,2483,human
31,2011-09-27 20:59:22,False,Always remain humble,2361,64,156,381157528,"Hollywood, Los Angeles",gabbs_01,2780,False,3248,bot
32,2012-07-28 10:39:50,True,Come to me 💝💝💝 https://t.co/louPiKBWfc,125,3,0,721944734,unknown,effort7879,19,False,2944,bot
33,2015-07-28 15:19:27,False,"Follow the blog for Philadelphia dog tips, info, features, and events. Created by a West Philly writer and the dog who rescued her.",915,267,246,3392143521,"Philadelphia, PA",LilDogBigPhilly,1337,False,1848,human
34,2009-03-08 17:39:00,False,"Director of the Non-State Actors Program, @CGPdc. NYT Bestselling Author https://t.co/UHFCxSjoJz. Writer, @Guardian @TheAtlantic @ForeignPolicy",13869,108660,1247,23330998,hassan@cgpolicy.org,hxhassan,66559,True,4181,human
35,2009-08-05 16:20:40,False,you'll find me @ concerts. Disneyland is my happy place! animal conservation! moment to moment...emotional roller coaster. dodging constant disappointments,2554,387,328,63176889,lost angels,Violetworld,27929,False,4031,human
36,2011-01-18 16:09:40,True,Non è bello ciò che bello ma è bello ciò che piace !,50242,276,509,239861947,unknown,Halena85,30093,False,3500,human
37,2009-02-24 14:32:43,False,"Stream/Buy 'You Know How It Feels' EP: https://t.co/R4KbGDCyk2 //
Bookings: andyduggan@primarytalent.com",16011,157466,1031,21758143,"Wexford,Ireland/London,England",MaverickSabre,33820,True,4193,human
38,2016-08-17 16:11:16,True,"Streamer and gamer, writer, blogger, cryptocurrency nut/trader, advocate for the decentralization of the internet.",1332,12,11,765944091385421824,unknown,nikonovasvyato1,1332,False,1462,bot
39,2009-02-02 19:04:42,False,#WholeNewGame,618,30999003,1748,19923144,unknown,NBA,259723,True,4215,bot
40,2011-01-08 20:04:18,False,,722,1300,1137,235667666,unknown,AlexNunez__,70176,False,3510,human
41,2013-02-17 23:18:02,False,"Howdy, I'm Jakob and I enjoy music, manga, anime, and video games. 🔞 banner by @cosmicirys",109753,184,436,1191444692,unknown,TheJakobmurphy,3569,False,2739,human
42,2014-05-16 14:25:43,False,,2896,338,743,2499018968,unknown,bkatcap,7167,False,2286,human
43,2012-04-19 16:20:40,False,"Flooring store providing carpet, hardwood, laminate, tile, vinyl to our friends and neighbors in our town, the surrounding communities and beyond!",1,93,233,557842655,Wisconsin,DMInteriorsFA,3733,False,3043,human
44,2009-03-08 17:39:22,False,I am just me being ME!!,2583,108,0,23331044,iowa! nothing but corn:) ,EdwardCAddict,5626,False,4181,bot
45,2011-06-21 14:02:29,False,Most achieved french player on Call of Duty @TeamVitality. Youtuber & Streamer @GotagaTV.,9955,1285743,850,321388777,contact@gotaga.tv,Gotaga,38906,True,3346,human
46,2011-05-14 03:23:33,True,pro memer,2925,1541148,628,298320111,los angeles,chandlerriggs,2619,True,3385,human
47,2009-06-29 01:07:03,False,656,1325,25,851,51904755,unknown,mu2060,1807,False,4069,bot
48,2011-01-27 20:44:28,False,Photographer for Arsenal Football Club. Instagram @pricey_afcphoto,5023,101576,286,243794165,Pitchside,Priceyd101,9728,False,3491,human
49,2014-12-12 23:35:45,False,Sogna la tua vita a colori: è il segreto della felicità. 🌈,253,317,413,2918711542,"Florencia, Toscana",TinoVale23,3110,False,2076,bot
50,2010-03-16 05:41:08,False,,0,164313,5577,123470069,"서울 홍대 (Hongdae, Seoul)",csangsangmadang,36737,False,3809,human
51,2014-12-26 06:40:30,True,セクシー下着を身につけた女子はフェロモンがいっぱいですね。お気に入りの画像はＲＴお願いします！,0,916,0,2943615224,unknown,sexy_sitagigazo,3416,False,2063,bot
52,2010-03-29 22:25:11,False,Booking info: konfrontationmuzik@gmail.com - Link to my @FanKeyOfficial channel below.,708,179268,867,127664378,Jamaica,MaestroMarley,6130,True,3795,human
53,2013-01-12 21:50:26,True,Do you like fast? Come in! 😻😻😻 https://t.co/3g9MiY2q3i,247,23,267,1084227842,unknown,beliebergirl132,100,False,2775,bot
54,2010-03-11 20:01:50,True,,2404,61,28,122159370,"Jacksonville, Florida",tlc614,3288,False,3813,bot
55,2009-05-11 19:34:19,False,"Canal de noticias 24 horas de @rtve 
▪https://t.co/kwp0u6LCE6
▪IG: https://t.co/YDdelHs6FP
▪Facebook: https://t.co/5WHlrF8FNB
▪Youtube: https://t.co/srvqHQp4fJ",3617,1437950,935,39321874,unknown,24h_tve,300978,True,4117,bot
56,2018-01-04 21:55:49,False,I tweet historical newspapers 🗞️from the Chronicling America archive at the @librarycongress.     Created by @whaleandpetunia,5,197,7,949036672741793793,"Washington, DC",newspaperbot,14599,False,957,bot
57,2013-11-06 19:37:33,False,...a happy life x's 6!   ❤,9557,205,702,2178679070,unknown,kathynickles6,1916,False,2477,human
58,2015-01-15 19:53:24,True,Do you like fast? Come in! 😻😻😻 https://t.co/JBmqFadtnX,199,2,0,2980315426,unknown,Ana63Annick,29,False,2042,bot
59,2008-10-29 11:52:26,False,Mak kau cakap kau boleh - FB/Insta: inchekubi,342,1491,158,17039652,unknown,inchekubi,4339,False,4311,human
60,2018-07-05 08:51:09,True,19 🤟🏼,772,65,114,1014793793353199617,htx,riphoesay,1281,False,776,human
61,2010-10-13 22:29:42,False,Manager and Senior Trader at Skylands Capital. Views are my own and are not investment advice. 8 billion shares traded.,42296,7235,3115,202375506,unknown,followtheh,61631,False,3597,human
62,2011-08-03 13:58:15,False,Very Asian xD,2492,16,0,347865421,"HCMC, Vietnam",HuytotheDang,3418,False,3303,bot
63,2012-05-06 16:25:24,True,,564,24,57,572785000,unknown,a80guglielmi,741,False,3026,bot
64,2016-01-13 04:14:59,True,I bleed red for the Huskers and Cardinals.,1047,13,106,4790681969,unknown,Oneway107,241,False,1680,human
65,2011-09-26 17:44:32,False,SPTA at Owens Community College. Graduate in May and that's when I'll have my life back....,2317,18,0,380457314,unknown,SamanthaJune666,3204,False,3249,bot
66,2008-08-04 22:45:38,False,"Writer of TV. Seller of unaired pilots. Co-creator of the SATC spinoff BERGER with my co-pilot for life, @davidgrossTV. The Burgeroticist™. RACISTS NOT WELCOME.",51376,13281,1858,15729017,"Los Angeles, CA",Gennefer,54581,False,4397,human
67,2012-06-01 09:25:11,False,News from the European Data Protection Supervisor (EDPS). Account managed by the EDPS Information & Communication team. Disclaimer: https://t.co/87Ywlcz2kt,1497,21046,3025,596377986,"Brussels, Belgium",EU_EDPS,4616,True,3001,human
68,2012-07-23 03:27:35,False,,2152,7,27,711721350,unknown,SkylerJeffery,3072,False,2949,bot
69,2011-06-29 20:17:16,False,,71,4476,568,326369679,Pakistán,msubtweeter,52,False,3338,bot
70,2012-10-07 17:21:31,False,alma de pipa avoada,3069,1064,172,866648466,unknown,tteodoras,73482,False,2872,bot
71,2016-03-12 21:00:24,True,"Tweets majestic imagery of traffic. Inspired by @choochoobot
 // bot by @xxRobot",21,31,4,708759570319953920,unknown,vroom_vroom_bot,3547,False,1620,bot
72,2016-04-18 10:06:04,True,,1202,13,392,722003254716944384,unknown,suqichen1978,1755,False,1584,bot
73,2006-07-05 19:52:46,False,"I like to build things (@Foursquare📱, @StockadeFC ⚽️ @StreetFC, Dodgeball 📟) Husband to @Chelsa, dad to 👧🏼❄️ & 👶🏼🚀. I enjoy snowboards, soccer & hot dogs",16665,84574,2843,418,NYC / Kingston,dens,73412,True,5158,human
74,2009-01-23 15:47:52,True,,2479,47,166,19399072,NYC/Dusseldorf ,suny1,3073,False,4225,bot
75,2017-06-16 18:27:55,True,استودعتكمالل .,87,1,0,875782003244892160,unknown,poygxvwsrtvrp21,413,False,1159,bot
76,2016-05-21 14:58:13,True,长满眼睛。,942,21,46,734035576068788225,"Tokyo-to, Japan",RUMI_0619,366,False,1550,bot
77,2017-01-04 01:56:29,True,,1301,56,25,816463277643288577,United States,dastud7979,1826,False,1323,human
78,2012-06-18 08:14:33,False,(MAGANDA LANG ANG MAKAKARELATE)PROMOTION: DM US :),250,68745,0,611582397,Wala kang PAKE!,BahayniQuotes,4857,False,2984,human
79,2009-07-16 18:43:00,False,"Former Professional Soccer Player for the Washington Spirit. Activist, Celesbian, Sports Diplomat and creator of Define Your Beauty. Pronouns: her/she/she",15985,13893,1506,57409991,"Bethesda, MD",JoannaLohman,21759,True,4051,human
80,2009-06-12 14:28:28,False,"Mom of 3, known to be funny occasionally, die hard Yankees fan.",4019,110,1112,46662096,ROCHESTER NY,LAWTURK,508,False,4085,human
81,2010-01-05 05:58:49,False,"🇺🇸 🇭🇹 | J.D. Candidate at Fordham Law | Alum of Bates College & U of Hawaii, M.Ed. | DE&I Practitioner | Former Educator & Coach | Sports Enthusiast | #BLM",18353,1077,2043,101974483,"New York, NY",EFMathieu,785,False,3879,human
82,2014-07-07 20:26:22,False,,1861,356,4412,2610430435,unknown,bigpappapump123,2611,False,2234,bot
83,2009-05-09 04:29:32,False,Universal Music Group Vannessa.Amadi@va-pr.co.uk mekkamillions@gmail.com +234 808 719 2902,607,4254877,2668,38797799,unknown,TiwaSavage,38105,True,4120,human
84,2009-04-11 05:57:44,False,Writer. Feminist. Snack-enthusiast. I got hacked for writing about cinnamon rolls. Then I got a James Beard Award. She/Her.,6464,103334,576,30409200,unknown,everywhereist,70123,True,4148,human
85,2009-03-13 03:22:11,True,,13883,171,1049,24117754,"springfield, mo",Poshy2005,10757,False,4177,human
86,2012-02-13 12:44:28,False,"Dancreprenuer 
@nrityashakti 
contact@nrityashakti.com",8888,680345,183,491258363,Mumbai,MohanShakti,6911,True,3109,human
87,2015-11-03 11:17:14,True,vive y deja vivir,3544,25,45,4112253434,unknown,BeeneSamuel,3646,False,1750,bot
88,2017-06-08 14:41:52,True,Birds and raccoons and shit,160,26,131,872826012794585089,"Maryland, USA",SSDGM666,152,False,1167,human
89,2017-06-19 13:34:43,False,"1. Mai essere serio. 2. Mai andare a rompere il cazzo a qualcuno, per quanto stupido sia. 3. Mai lasciare che qualcuno che rompe il cazzo a me la passi liscia😂.",17028,407,186,876795381841100801,unknown,Odiotuttigioia,6880,False,1156,bot
90,2011-04-25 19:27:56,True,Attack The Day,7338,4201705,885,287834630,unknown,GNev2,14173,True,3403,human
91,2009-08-04 20:12:11,True,"MSN CCRN CNE CNN  KNA Board of Directors Certified Critical Care Nurse, Certified Nurse Educator, Certified Nephrology Nurse",58490,446,807,62915097,unknown,Teresav4,52732,False,4032,human
92,2011-03-06 09:48:23,True,Modelo y Animadora  exparticipante de BAILALO3 Canal Uno .Ecuador,231,113181,297,261620277,Santiago de Chile,kattyatamayo,8028,False,3454,human
93,2008-08-04 23:06:03,False,North Carolina Public Radio - WUNC,1476,33334,385,15729207,"Chapel Hill, NC",wunc,28586,True,4397,human
94,2010-02-15 20:38:49,False,"Вечерний Ургант, Первый канал",2,4577055,1,114557496,"Moscow, Russia",urgantcom,1070,True,3837,human
95,2009-02-02 19:10:35,False,Diario ABC.  También en  https://t.co/8XvlveA4Xv https://t.co/eMYhB26cws https://t.co/SygOv6qIBl https://t.co/NrLBoiGChf,1115,2015401,14905,19923515,España,abc_es,435389,True,4215,bot
96,2009-06-26 01:12:25,True,"In all toil, there is profit. Mere talk leads only to poverty.",2747,223,624,50856512,"Austintown, Ohio",zZBurntToastZz,5447,False,4072,bot
97,2013-04-24 15:20:34,True,Teflon Don,114220,492,856,1377305161,"Fox Chase, PA • Chandler, AZ",Donny_BIGGS,107091,False,2673,human
98,2006-07-13 09:05:49,False,"I love @crystale & our 3 girls. Used to invest in startups. Had fun on @ABCSharkTank. Now healing the climate, fixing democracy, & reforming criminal justice.",344286,1662199,924,586,Wyoming and Montana,sacca,75456,True,5151,human
99,2009-04-10 03:19:07,True,,343,3,0,30147163,FFB ar,jef2195,557,False,4149,bot
100,2012-02-05 07:48:51,False,,148,168610,85,483656289,unknown,anlyzambrano,8563,False,3118,human
101,2012-09-26 20:08:57,False,"I'm Paul. He/They. A piece of clothing that cries and laughs and worries about you.
Valid only at participating locations.",8536,152,659,848036460,"Syracuse, NY",paulnutwalnut,4124,False,2883,human
102,2011-07-15 17:58:55,False,i can babble a little,11,56,0,336069232,malaysia,shwuyiNg_,256,False,3322,human
103,2010-04-02 06:33:36,False,Peruana | Cantante | Actriz | Conductora | Contrato: 924211316 / contacto: oneup@gmail.com,12742,1151962,2597,128799124,Perú,MicheilleSoifer,15949,True,3792,human
104,2010-02-15 20:39:06,True,PGATOUR player.. Creator of @secretGolf & SG Tour golf gaming platform in App Store digital content on https://t.co/OydW6bdoBJ  Home of 33 Tour players content,12587,73307,2850,114557557,"Houston, TX",elkpga,43615,True,3837,human
105,2010-02-05 19:30:34,False,Just Tricey...simple as that:),1864,96,267,111673973,Paramount,ILYtricey,3565,False,3847,human
106,2012-09-27 07:20:13,False,@UFC Flyweight Champion 17 time World Champion 🏆Appearances/sponsorship/seminars teambullet2018@gmail.com,1701,731524,302,848822905,Las Vegas ,BulletValentina,7196,True,2883,human
107,2011-03-14 05:28:13,False,Commissioner/Follower,20877,8,265,265814650,US,DJC113Live,807,False,3446,bot
108,2010-04-16 11:54:31,False,"Less than somebody, more than nobody.",2526,7,330,133694084,U.S.A,dodoroirene,3160,False,3777,bot
109,2013-08-09 16:14:52,False,,13644,792,290,1658061462,"Florida, USA",idarksynth,18679,False,2566,human
110,2009-07-25 10:34:58,False,"Separately and together, that is Girls' Generation",7386,306,446,60031646,In your mind,TurtleRua,24894,False,4043,human
111,2010-02-06 17:19:39,False,"“Tension is who you think you should be, relaxation is who you are.”",601,27613,104,111936162,Above the sky,DamarisLewis,15912,True,3846,human
112,2014-08-25 22:45:56,False,"OSU class of 2017, Durham university 2020, biological anthropologist, paleopathologist, painter",3489,71,312,2768241314,"Columbus, Ohio",janelle_ty,1873,False,2185,human
113,2012-07-18 21:53:22,True,,1951,6,43,703857318,unknown,qty_3,2633,False,2953,bot
114,2012-07-10 14:38:06,True,,666,28,40,632029895,"Miami, Florida",karengant1,910,False,2961,bot
115,2013-07-12 04:25:44,False,,1876,43,0,1587544788,"Tijuana, Baja California",PopDpp,2799,False,2595,bot
116,2011-01-27 20:45:50,False,,2314,49,87,243794651,unknown,9olfo,3233,False,3491,bot
117,2012-08-29 07:43:25,False,Moda y calidad al mejor precio de una manera sostenible.,428,173010,344,788792041,unknown,hmchile,5020,True,2912,human
118,2013-08-22 21:49:51,True,IG: - n,17019,96,145,1692140268,atx,tommygeekinn,1381,False,2553,human
119,2008-07-17 12:51:13,True,"Nurse, soccer player, golfer, Libertarian",799,16,12,15467245,"Augusta, GA",uscsoccer86,1172,False,4415,bot
120,2012-07-28 07:02:34,True,"Nature enthusiasts🐍🐾. Lover of all things scary and dangerous 🌚. Wiccan by night Student by day 😪. BLACK QUEER LIVES MATTER. No justice, No Peace.",46919,271,346,721683182,"Ohio, USA",nai8478,19460,False,2944,human
121,2015-07-18 00:03:45,False,Venmo: hellsabels 🤑,46961,310,420,3282830066,Road to happiness,eye__vy,11102,False,1859,human
122,2009-02-09 16:55:44,False,"The official Twitter account for Outdoor Channel. Tag your best Hunting, Fishing and Shooting sports Photos & Videos #WhatGetsYouOutdoors https://t.co/fMrFnB7HvR",14392,210561,6801,20447988,"Denver, CO",OUTDChannel,25776,True,4208,human
123,2009-12-06 00:13:34,False,"24, EFL teacher, LG(B)T+

|Jonatic|Larrie|OT5| 

#Apruebo #ConvenciónConstituyente















Personal / fan account 🐧",29970,1835,2570,94896901,Chile,iJonasStylinson,65537,False,3909,human
124,2009-11-07 01:15:39,False,"Mexicana que aprendió inglés con inglés sin barreras, y ahora es bien kool. SC: ugh_itsher",322,121,101,88081160,Tierra Santa,_amy00,23163,False,3938,human
125,2009-08-07 12:07:22,False,"yup, I am that girl",2175,6154982,334,63701775,unknown,mainedcm,39887,True,4029,human
126,2009-04-13 19:14:35,False,Goofy by nature; lunatic by default.,2006,31,85,30933781,State of Confusion,magickalspectre,2679,False,4145,human
127,2017-07-23 19:58:20,True,,9677,24,81,889213107112996864,tx,feIIati0,1246,False,1122,human
128,2011-04-03 16:27:15,True,,34,0,0,276562720,unknown,Preggoluffa,37,False,3425,bot
129,2011-02-22 17:56:17,False,"God, family, then the bag",62208,1672,389,256115497,frostburg state univ.,cjfinnego,161386,False,3465,human
130,2016-01-26 04:57:21,True,"""Beauty begins the moment you dived to be yourself"" -Coco Chanel ❤️",49,31,142,4848354100,unknown,LorLea93,2034,False,1667,human
131,2014-01-30 02:25:01,True,Freelance Journalist,28461,512,355,2318140218,Earth,kbjurgens,43205,False,2393,human
132,2014-06-22 08:26:51,False,We share News with Views,1105,57038,613,2581857086,INDIA,NewsroomPostCom,167326,True,2250,human
133,2013-09-07 01:13:19,True,"Vocalist, Violinist, Actor and super fan of the Lord of the Rings. Romans 8:38-39.",37745,96,383,1739064128,unknown,MadisonAriaRose,1157,False,2538,human
134,2009-06-14 21:57:46,False,,3146,1032551,0,47186755,"Chicago, IL",RKellyOnlyTwitr,91,False,4083,human
135,2017-05-07 08:26:20,True,Gündem News Politics Economy and Finance Turkey Politics Politicians Television,1053,40,592,861135093213138944,"Estambul, Turquía",MahmutBilici11,1233,False,1200,bot
136,2009-02-12 19:48:55,False,"To find us in your area: https://t.co/A0IOVeFNbL 
Social Media & Giveaway Rules: https://t.co/uElv61hjJw
You consent to us using any content you tweet to @MLBNetwork",20442,1630092,4946,20710218,"Secaucus, NJ",MLBNetwork,68901,True,4205,bot
137,2009-02-16 09:09:28,False,"Dan Carlin's Hardcore History Twitter feed quote: Yes, I know the show is late... endquote",19,272796,95,20972371,New Media,HardcoreHistory,10591,False,4202,bot
138,2013-08-18 19:10:13,True,,1125,18,0,1681392474,unknown,Kxiehm,311,False,2557,human
139,2012-09-01 01:44:36,False,"|24| If you’re not fluent in sarcasm, now would be a good time to block me 😆Jalisco🇲🇽 There is no progress without struggle. 💪🏃🏻‍♂️🏋🏻‍♂️ FC Barcelona⚽️",7531,384,226,795083617,"Illinois, USA",EA9625,41501,False,2909,human
140,2010-11-30 21:35:40,False,"Academy Award Winner ---
Producer | Director | Writer | Actor --- “Shameless Imagination”",1418,29739,545,221512549,Los Angeles,RogerCorman,1984,False,3549,human
141,2008-12-12 23:26:18,False,,2784,1318800,20,18088810,unknown,edu,3995,True,4267,human
142,2009-04-07 02:45:03,False,You didn't see anything...,179,48,104,29361001,Florida,ally24601,1245,False,4152,human
143,2012-11-10 15:12:20,False,,179,3508,150,939262832,unknown,HeriethPaul,490,True,2838,human
144,2015-03-21 15:24:53,True,Passionately curious. Midwest girl at heart.,27066,620,870,3101950833,Milwaukee native in Florida  ,zentients,29993,False,1977,human
145,2011-10-06 18:42:32,False,"Specialty mail-order Birding, Ornithology, Natural History Bookstore with the radical twist of offering helpful service and a knowledgeable staff.",1651,1599,544,386139005,Virginia,ButeoBooks,737,False,3239,human
146,2010-11-27 21:37:37,True,,10,1,497,220464007,unknown,PHILLYGOBLIN,221,False,3552,human
147,2012-08-30 21:39:52,True,• Georgia Southern University ‘19 • Teacher 👩‍🏫 🍎.   (Thoughts and Opinions are my own),2196,143,381,792462217,unknown,spaceymaci,1892,False,2910,human
148,2012-01-29 03:44:09,False,Founder/Artistic Director of MIDNIGHT STUDIOS. AWGE.,6327,18136,3,477365128,LOS ANGELES,SHANEAVELI,610,True,3125,human
149,2009-05-13 21:53:30,False,,2472,3,44,39846828,"Portland, OR",waialoha,3145,False,4115,bot
150,2013-09-09 19:29:39,False,"@NBCNews social newsgathering reporter specializing in #osint, digital verification, & discovery | native long islander | @COMatBU alum |  RTs ≠ endorsements",4901,1595,1249,1849164720,"New York, NY",CaitlinFichtel,6915,True,2535,human
151,2009-11-20 00:11:16,False,I tell stories with photography & film.,1149,20126,264,91227068,"Montana, USA",alexstrohl,2589,True,3925,human
152,2009-04-24 06:21:49,False,Actor • Indie Artist • Amazon Influencer • Auntie 👇🏾Shop My Affordable Amazon Finds Here👇🏾,6986,2605,628,34866114,"Atlanta, GA",LaTonyaHolmes,9832,True,4135,human
153,2012-12-19 04:28:35,True,,1353,426,583,1021313990,unknown,jandooo_,3764,False,2800,human
154,2009-05-21 21:25:36,True,"A bot tweeting selected definitions of words based on their appearance in NYT news headlines right now.

(kudos to #NLTK and #WordNet)",20,79,31,41681878,"Ontario, Canada",researchinator,8054,False,4107,bot
155,2009-04-21 23:00:10,True,living and learning!,990,20,135,34079698,"Michigan, USA",Genobaby05,1177,False,4137,bot
156,2011-11-10 12:25:44,True,,547,13,0,409207765,France,Hurelmaud,751,False,3204,bot
157,2009-03-16 03:26:00,False,"Nashville Endodontist, Stanford Grad, Sports Afficionado, NCAA champion Synchronized swimmer
IG @drbendo",94,606,106,24642526,"Nashville, TN",PoppyBlaseioDDS,1205,False,4174,human
158,2018-08-27 16:27:31,True,,1883,74,40,1034115201979826178,unknown,CES_Hulley,509,False,722,human
159,2009-03-14 15:12:11,False,Changing lives through educational opportunities #CustomizedTraining #WorkforceDevelopment #LifelongLearning #CommunityCollege,3061,279,459,24380395,unknown,rnbmom,1538,False,4175,human
160,2009-06-12 14:31:12,False,,1862,221,121,46662639,São Paulo,Sardinha17,3551,False,4085,human
161,2010-07-30 14:38:32,True,How do you like my site? 😙😙😙 https://t.co/Qzljf3isQx,129,8,0,172753966,"le puy,france",stif1901,31,False,3672,bot
162,2008-12-24 04:47:17,False,tl;dr,112640,3652,1131,18351153,unknown,LadyKateBond,33270,True,4256,human
163,2012-10-05 22:29:02,False,your mf girl,14811,311,323,863765552,"Carmel, IN",maggie_rose505,19908,False,2874,bot
164,2012-10-01 20:13:17,True,,2289,32,168,856949808,unknown,hodgali05,3128,False,2878,bot
165,2012-02-18 00:11:46,True,Do you like fast? Come in! 😁 https://t.co/VD3fc8nyqL,179,5,0,495453239,unknown,MaiconSales8,28,False,3105,bot
166,2012-09-03 15:08:31,False,,1139,2,42,800588862,unknown,changblue5,1746,False,2906,bot
167,2010-03-06 22:46:38,True,"I am interested in science, music, art, and i am slightly insane",2359,23,69,120587348,"Kenosha County, WI",colinz226,3663,False,3818,bot
168,2011-05-29 08:04:44,True,藍屋敷おくむらweb masterのTwitter。　http://t.co/BUWlcHsNyI　http://t.co/OIvc5r5Box　http://t.co/PG8UFADuoX #徳島 #藍染 #藍染め,19868,83404,91815,307233876,日本,aizome_jp,56015,False,3370,bot
