annotator,updated_at,annotation_id,sentiment,retweet_count,text,like_count,Unnamed: 0,lead_time,created_at,id,username
1,2023-02-27T06:40:38.852177Z,1639,Positive,8,@Rieldonft ente kiper terbaik di dunia,55,19,0.71,2023-02-27T06:40:38.852177Z,1816,zivamagnolyeah
1,2023-02-27T06:40:39.624510Z,1640,Positive,628,some people lose diamonds in search of eek,3358,20,0.483,2023-02-27T06:40:39.624510Z,1817,zivamagnolyeah
1,2023-02-27T06:40:40.788724Z,1641,Negative,17,@amadearmb https://t.co/uqoWfCGg3c,461,21,0.926,2023-02-27T06:40:40.788724Z,1818,zivamagnolyeah
1,2023-02-27T06:40:42.149029Z,1642,Positive,1,@Soyi_yeah malem ini ya aku live tapi abis ini soalnya lagi eek,60,22,0.975,2023-02-27T06:40:42.149029Z,1819,zivamagnolyeah
1,2023-02-27T06:40:42.978848Z,1643,Positive,0,@piuuuuwww saya sampe nyetok,47,23,0.522,2023-02-27T06:40:42.978848Z,1820,zivamagnolyeah
1,2023-02-27T06:40:43.748731Z,1644,Positive,4312,semakin dewasa itu semakin tau tempat. bukan fake.,17889,24,0.457,2023-02-27T06:40:43.748731Z,1821,zivamagnolyeah
1,2023-02-27T06:40:44.768920Z,1645,Negative,3,@keisyalevronkaa suka bgt https://t.co/YZuKgNS48e,285,25,0.735,2023-02-27T06:40:44.768920Z,1822,zivamagnolyeah
1,2023-02-27T06:40:45.828912Z,1646,Positive,1,@arsywidianto IZIN NGEQUOTE DARI BAPAK ANDA YA HAHAHAHHAA,139,26,0.776,2023-02-27T06:40:45.828912Z,1823,zivamagnolyeah
1,2023-02-27T06:40:46.739123Z,1647,Positive,8560,Semua akan indah pada
hal enggak 🤡,28482,27,0.63,2023-02-27T06:40:46.739123Z,1824,zivamagnolyeah
1,2023-02-27T06:40:47.995255Z,1648,Positive,47,@bayu_joo kerja ditempat yg memang diinginkan,743,28,0.839,2023-02-27T06:40:47.995255Z,1825,zivamagnolyeah
1,2023-02-27T06:40:48.829290Z,1649,Positive,4376,capek bgt harus jaga imej kalo lg boker di toilet umum. takut kekencengan suara plung nya yalord help,44797,29,0.565,2023-02-27T06:40:48.829290Z,1826,zivamagnolyeah
1,2023-02-27T06:40:49.578727Z,1650,Positive,1,@ciloqciliq betul itu betul.,162,30,0.48,2023-02-27T06:40:49.578727Z,1827,zivamagnolyeah
1,2023-02-27T06:40:50.386372Z,1651,Positive,0,@ciloqciliq WKWKWKKW,153,31,0.53,2023-02-27T06:40:50.386372Z,1828,zivamagnolyeah
1,2023-02-27T06:40:51.188981Z,1652,Positive,1893,muka kalian agamanya apa?,38723,32,0.535,2023-02-27T06:40:51.188981Z,1829,zivamagnolyeah
1,2023-02-27T06:40:52.269938Z,1653,Negative,735,👀 https://t.co/DeIwpTluMg,31700,33,0.835,2023-02-27T06:40:52.269938Z,1830,zivamagnolyeah
1,2023-02-27T06:40:53.068854Z,1654,Positive,23,ke Gold Dragon Senayan yuk malem ini,702,34,0.529,2023-02-27T06:40:53.068854Z,1831,zivamagnolyeah
1,2023-02-27T06:40:57.389476Z,1655,Neutral,5,@andixeth 🥹🫶🏻,152,35,1.35,2023-02-27T06:40:53.922129Z,1832,zivamagnolyeah
1,2023-02-27T06:41:01.304342Z,1656,Negative,740,Ada orang yang kedoknya jujur padahal yang dia lakukan adalah ngomong tanpa mikir terlebih dahulu. Jangan keliru &amp;… https://t.co/gAomX0Bykt,4164,36,1.066,2023-02-27T06:41:01.304342Z,1833,zivamagnolyeah
1,2023-02-27T06:41:05.619026Z,1657,Positive,5936,udah terbiasa memendam perasaan sampe bakat juga jadi ikutan terpendam,25887,37,1.891,2023-02-27T06:41:05.619026Z,1834,zivamagnolyeah
1,2023-02-27T06:41:07.428964Z,1658,Negative,106,lu bedua bisa stop lewat tl g 🤬 https://t.co/GeXgBCtIiW,967,38,1.443,2023-02-27T06:41:07.428964Z,1835,zivamagnolyeah
1,2023-02-27T06:41:08.320963Z,1659,Negative,40,@ssskkrrrttttt lu yg miskin nana. miskin tata krama https://t.co/xFcRaUjijn,866,39,0.584,2023-02-27T06:41:08.320963Z,1836,zivamagnolyeah
1,2023-02-27T06:41:09.468833Z,1660,Positive,41,bing qi lin,1107,40,0.823,2023-02-27T06:41:09.468833Z,1837,zivamagnolyeah
1,2023-02-27T06:41:10.353826Z,1661,Positive,1959,we’re gonna live our BEST LIFE in 2023.,6974,41,0.584,2023-02-27T06:41:10.353826Z,1838,zivamagnolyeah
1,2023-02-27T06:41:13.969110Z,1662,Neutral,1,@ciloqciliq 😭😭😭,218,42,2.161,2023-02-27T06:41:11.068974Z,1839,zivamagnolyeah
1,2023-02-27T06:41:15.998917Z,1663,Positive,1426,“Jika tiba waktunya nanti, yang tak di paksa yang kan terjadi.”,6946,43,1.187,2023-02-27T06:41:15.998917Z,1840,zivamagnolyeah
1,2023-02-27T06:41:17.309097Z,1664,Negative,4,Selamat buat 10 pemenang giveaway !! 🥳yg ku mention mohon segera DM aku no telp kalian yaa! makazii 🤍

@moehammadnr… https://t.co/TlX0DdVFBS,275,44,1.029,2023-02-27T06:41:17.309097Z,1841,zivamagnolyeah
1,2023-02-27T06:41:18.478865Z,1665,Negative,126,https://t.co/2e2yopLAwO,3608,45,0.886,2023-02-27T06:41:18.478865Z,1842,zivamagnolyeah
1,2023-02-27T06:41:30.109125Z,1666,Positive,2,@sulistiyeah rada sakit sih tp lebih kerasa emosinya wkwk,175,46,11.262,2023-02-27T06:41:30.109125Z,1843,zivamagnolyeah
1,2023-02-27T06:41:36.522806Z,1667,Positive,1,@shilvaniasliii skip gamau tau tu foto ada apa ngga udah keburu emoji,127,47,6.056,2023-02-27T06:41:36.522806Z,1844,zivamagnolyeah
1,2023-02-27T06:41:37.749113Z,1668,Negative,81,https://t.co/PBZtqm4YkE,1236,48,0.899,2023-02-27T06:41:37.749113Z,1845,zivamagnolyeah
1,2023-02-27T06:41:40.113971Z,1669,Positive,52,baru sekali w diajak foto sambil di cekek orang karna dia gamau w pergi 😃👎🏻,3358,49,2.077,2023-02-27T06:41:40.113971Z,1846,zivamagnolyeah
1,2023-02-27T06:41:41.288696Z,1670,Positive,8652,kalo hati kita kelamaan kosong, kira-kira bakal jadi mixue ga ya?,65253,50,0.837,2023-02-27T06:41:41.288696Z,1847,zivamagnolyeah
1,2023-02-27T06:41:42.093478Z,1671,Positive,9352,pantesan akhir-akhir ini ujan terus. ternyata air mata fajar,64343,51,0.519,2023-02-27T06:41:42.093478Z,1848,zivamagnolyeah
1,2023-02-27T06:41:43.229391Z,1672,Positive,126,Merry Christmas 🎄✨🤍,2001,52,0.858,2023-02-27T06:41:43.229391Z,1849,zivamagnolyeah
1,2023-02-27T06:41:44.319358Z,1673,Positive,2,@weirdfizhez ada di diskualifikasi walaupun anda mendengarkan lagu kesukaan saya tapi tetap tetot karna tidak baca syarat dengan detail 😤,59,53,0.8,2023-02-27T06:41:44.319358Z,1850,zivamagnolyeah
1,2023-02-27T06:41:45.492829Z,1674,Negative,1083,lagi pengen bagi-bagi duit nih.
tapi 1jt di bagi 10 orang aj yaak!

⚠️ SYARAT =
• screenshoot kalian lagi dengerin… https://t.co/0WSmQ2PIt2,3684,54,0.9,2023-02-27T06:41:45.492829Z,1851,zivamagnolyeah
1,2023-02-27T06:41:46.453534Z,1675,Negative,71,ada album gue 😭 brb nangis. https://t.co/qHJX6HTz7g,1009,55,0.672,2023-02-27T06:41:46.453534Z,1852,zivamagnolyeah
1,2023-02-27T06:41:47.262395Z,1676,Negative,52,RT @lovekatysvibe: Most streamed female albums of 2022 on Spotify:

— make sure you follow me, ifb ✨ https://t.co/ReNU3SQbKC,0,56,0.54,2023-02-27T06:41:47.262395Z,1853,zivamagnolyeah
1,2023-02-27T06:41:48.229997Z,1677,Positive,145,halo deck,4604,57,0.696,2023-02-27T06:41:48.229997Z,1854,zivamagnolyeah
1,2023-02-27T06:41:49.028936Z,1678,Positive,844,aneh banget sumpah tadi pagi ada bocil didepan rumah mainin anjing w. tbtb dia memperkenalkan dirinya “nama aku pick me girl” 😕,24107,58,0.535,2023-02-27T06:41:49.028936Z,1855,zivamagnolyeah
1,2023-02-27T06:41:51.949281Z,1679,Negative,1501,@tanyakanrl kalo diliat dr pas adenya blg “masih ada sisa 30k” tuh pasti dia jg sebenernya ga enak dan mau mencoba… https://t.co/RQOgKjTjcV,27093,59,1.065,2023-02-27T06:41:49.882790Z,1856,zivamagnolyeah
1,2023-02-27T06:41:54.214212Z,1680,Positive,0,@Rikura_8 lah iya juga ya,135,60,1.066,2023-02-27T06:41:54.214212Z,1857,zivamagnolyeah
1,2023-02-27T06:41:55.518866Z,1681,Positive,3,@WarungDj gpp kok kalo emg udah waktunya 😗,131,61,0.914,2023-02-27T06:41:55.518866Z,1858,zivamagnolyeah
1,2023-02-27T06:41:56.492100Z,1682,Positive,8,@jefrinichol HAHAHAHA,436,62,0.631,2023-02-27T06:41:56.492100Z,1859,zivamagnolyeah
1,2023-02-27T06:41:58.809195Z,1683,Positive,1,@rizkayuul mau mantai mau ke jepun makan makan mau ke yurop belandja,39,63,2.004,2023-02-27T06:41:58.809195Z,1860,zivamagnolyeah
1,2023-02-27T06:41:59.961778Z,1684,Positive,20876,TUHAAAAN aku mau liburaaaaaaaan 🫠,53587,64,0.739,2023-02-27T06:41:59.961778Z,1861,zivamagnolyeah
1,2023-02-27T06:42:01.233850Z,1685,Positive,660,Fans Argentina masih senyum-senyum ga ya bangun tidurnya?,18892,65,0.909,2023-02-27T06:42:01.233850Z,1862,zivamagnolyeah
1,2023-02-27T06:42:02.202793Z,1686,Positive,59,Surabaya seru bgt. mau lagi 😡🫶🏻,2381,66,0.647,2023-02-27T06:42:02.202793Z,1863,zivamagnolyeah
1,2023-02-27T06:42:03.989317Z,1687,Negative,80,soncek x perform https://t.co/ydeS8vfeaL,1979,67,1.488,2023-02-27T06:42:03.989317Z,1864,zivamagnolyeah
1,2023-02-27T06:42:05.471213Z,1688,Positive,0,@linarrrrr wkwkwk ngakak 🤣🤣,75,68,1.099,2023-02-27T06:42:05.471213Z,1865,zivamagnolyeah
1,2023-02-27T06:42:06.428764Z,1689,Positive,757,kalo aku gaada kabar berarti aku lagi main hotpot story ya,13047,69,0.611,2023-02-27T06:42:06.428764Z,1866,zivamagnolyeah
1,2023-02-27T06:42:07.599580Z,1690,Negative,0,@wo_paijo https://t.co/wqRyco03s6,23,70,0.87,2023-02-27T06:42:07.599580Z,1867,zivamagnolyeah
1,2023-02-27T06:42:08.825010Z,1691,Negative,24,yang di Surabaya jangan lupa merapat besok ya di SOD fest 🤪🫶🏻 https://t.co/BStdbY6DxR,943,71,0.928,2023-02-27T06:42:08.825010Z,1868,zivamagnolyeah
1,2023-02-27T06:42:09.699885Z,1692,Negative,34,Ziva Magnolya &amp; The Hotpot Story 😭🤏🏻 https://t.co/xO7WlyssiU,888,72,0.594,2023-02-27T06:42:09.699885Z,1869,zivamagnolyeah
1,2023-02-27T06:42:10.659097Z,1693,Positive,3,@Auliahikmah_ ini judul lagunya siapa ya,257,73,0.678,2023-02-27T06:42:10.659097Z,1870,zivamagnolyeah
1,2023-02-27T06:42:11.444663Z,1694,Positive,1,@sebutaj_mawar ini lebih bang dari 3,212,74,0.504,2023-02-27T06:42:11.444663Z,1871,zivamagnolyeah
1,2023-02-27T06:42:12.278958Z,1695,Positive,0,@rizkayuul heh. blm halal,30,75,0.532,2023-02-27T06:42:12.278958Z,1872,zivamagnolyeah
1,2023-02-27T06:42:13.376700Z,1696,Positive,1220,kalo di kasih kesempatan ngomong 3 kata buat mantan, mau bilang apa?,27352,76,0.681,2023-02-27T06:42:13.376700Z,1873,zivamagnolyeah
1,2023-02-27T06:42:14.258842Z,1697,Positive,101,🤮,1676,77,0.579,2023-02-27T06:42:14.258842Z,1874,zivamagnolyeah
1,2023-02-27T06:42:15.098952Z,1698,Positive,0,@DheaGusrevery wakwawwww 😂,18,78,0.55,2023-02-27T06:42:15.098952Z,1875,zivamagnolyeah
1,2023-02-27T06:42:15.829544Z,1699,Positive,7586,oh jadi gini ya rasanya ilfeel se ilfeel ilfeelnya 😂,46394,79,0.464,2023-02-27T06:42:15.829544Z,1876,zivamagnolyeah
1,2023-02-27T06:42:16.608957Z,1700,Positive,54,@Askrlfess gajelas bet si bagja,1355,80,0.487,2023-02-27T06:42:16.608957Z,1877,zivamagnolyeah
1,2023-02-27T06:42:17.661219Z,1701,Negative,62,gendong bayi https://t.co/xHy1MTafOJ,2408,81,0.787,2023-02-27T06:42:17.661219Z,1878,zivamagnolyeah
1,2023-02-27T06:42:18.629330Z,1702,Negative,0,@rizkayuul https://t.co/cFc3ORlPfL,42,82,0.69,2023-02-27T06:42:18.629330Z,1879,zivamagnolyeah
1,2023-02-27T06:42:19.726199Z,1703,Positive,1,@jipayeah bahagia maximal,40,83,0.726,2023-02-27T06:42:19.726199Z,1880,zivamagnolyeah
1,2023-02-27T06:42:20.484669Z,1704,Positive,0,@sujiytt paraaaaahh,26,84,0.479,2023-02-27T06:42:20.484669Z,1881,zivamagnolyeah
1,2023-02-27T06:42:22.708303Z,1705,Neutral,109,🥹🫶🏻😭🤩🥰🥶⚠️😩🥵💯🫠🫣,1765,85,1.966,2023-02-27T06:42:22.708303Z,1882,zivamagnolyeah
1,2023-02-27T06:42:24.523220Z,1706,Negative,4127,RT @hafilova: Bungkusss!! Film-film Indonesia terbaik 2022. 

8. Mencuri Raden Saleh
7. Perfect Strangers
6. Pulang
5. Inang https://t.co/o…,0,86,1.414,2023-02-27T06:42:24.523220Z,1883,zivamagnolyeah
1,2023-02-27T06:42:25.742932Z,1707,Negative,19,https://t.co/Q5TYGmnSRS,201,87,0.94,2023-02-27T06:42:25.742932Z,1884,zivamagnolyeah
1,2023-02-27T06:42:26.819134Z,1708,Negative,71,1st selfie bareng mbak Stesi 🥹
jangan lupa nonton MV Fall In Love Alone ya!!! 🫶🏻 https://t.co/Oj0YZw6Z4a,2506,88,0.795,2023-02-27T06:42:26.819134Z,1885,zivamagnolyeah
1,2023-02-27T06:42:28.169188Z,1709,Positive,6,RT @sulistiyeah: cepet deh mampir liat MVnya Fall in love alone ziva stacey.. nyempil satu foto diluar mv ikutan gakuat cantik bgt abisnya…,0,89,0.992,2023-02-27T06:42:28.169188Z,1886,zivamagnolyeah
1,2023-02-27T06:42:29.299031Z,1710,Negative,60,hewan, hewan apa yg suka tidur : https://t.co/ce2hMjcygm,821,90,0.796,2023-02-27T06:42:29.299031Z,1887,zivamagnolyeah
1,2023-02-27T06:42:30.369185Z,1711,Positive,9,@kaesangp boong,666,91,0.634,2023-02-27T06:42:30.369185Z,1888,zivamagnolyeah
1,2023-02-27T06:42:31.201319Z,1712,Positive,17595,kalo gabisa jadi orang baik, minimal ga jadi orang jahat.,59165,92,0.482,2023-02-27T06:42:31.201319Z,1889,zivamagnolyeah
1,2023-02-27T06:42:32.158964Z,1713,Positive,4,@livyyrenata (2),287,93,0.679,2023-02-27T06:42:32.158964Z,1890,zivamagnolyeah
1,2023-02-27T06:42:33.288850Z,1714,Negative,4,@maybemala https://t.co/MeGuefPZlt,81,94,0.804,2023-02-27T06:42:33.288850Z,1891,zivamagnolyeah
1,2023-02-27T06:42:34.325062Z,1715,Negative,29,Astagfirullah bude kok tau 😭 https://t.co/uOTIO5mDyf,662,95,0.74,2023-02-27T06:42:34.325062Z,1892,zivamagnolyeah
1,2023-02-27T06:42:38.524356Z,1716,Positive,89,@BudeSumiyati nangisin cerita orang lain bude,2722,96,0.9990000000000001,2023-02-27T06:42:35.139037Z,1893,zivamagnolyeah
1,2023-02-27T06:42:40.869016Z,1717,Positive,5,@_rapunzelss pekerjaan saya kan mewakili rakyat twiti,236,97,1.243,2023-02-27T06:42:40.869016Z,1894,zivamagnolyeah
1,2023-02-27T06:42:41.959023Z,1718,Positive,29729,semoga di bulan Desember ini, tbtb banyak duit.,80919,98,0.798,2023-02-27T06:42:41.959023Z,1895,zivamagnolyeah
1,2023-02-27T06:42:42.899113Z,1719,,20,@EnzyStoria selama ini biasanya kalo ketemu cowo ganteng pada wangi sih 🫣,529,99,0.643,2023-02-27T06:42:42.899044Z,1896,zivamagnolyeah
1,2023-02-27T06:42:46.398728Z,1720,Positive,1,@wo_paijo gilaaaa,188,100,3.186,2023-02-27T06:42:46.398728Z,1897,zivamagnolyeah
1,2023-02-27T06:42:48.158010Z,1721,Negative,8,RT @wo_paijo: 2020,2021,2022 #SpotifyWrapped 
tetap Ziva @zivamagnolyeah 
Ada lawan? 😂 https://t.co/02oWlZxO1W,0,101,1.426,2023-02-27T06:42:48.158010Z,1898,zivamagnolyeah
1,2023-02-27T06:42:49.190952Z,1722,Positive,1475,hah udah Desember,8191,102,0.763,2023-02-27T06:42:49.190952Z,1899,zivamagnolyeah
1,2023-02-27T06:42:51.859277Z,1723,Neutral,1,@irdnfdzil 🥹🫶🏻,13,103,2.37,2023-02-27T06:42:51.859277Z,1900,zivamagnolyeah
1,2023-02-27T06:42:53.122604Z,1724,Negative,26,🤡 https://t.co/v9rijVpeXB,589,104,0.954,2023-02-27T06:42:53.122604Z,1901,zivamagnolyeah
1,2023-02-27T06:42:54.315738Z,1725,Negative,96,@amndzahra Terimakasih sudah bertahan sampai sejauh ini 🫶🏻 https://t.co/yGG2TEUaXl,781,105,0.82,2023-02-27T06:42:54.315738Z,1902,zivamagnolyeah
1,2023-02-27T06:42:55.469344Z,1726,Positive,17,ngajarin stacey ngawi kali ya,1281,106,0.867,2023-02-27T06:42:55.469344Z,1903,zivamagnolyeah
1,2023-02-27T06:42:56.508926Z,1727,Negative,22,https://t.co/l0bGMlpbNs,463,107,0.742,2023-02-27T06:42:56.508926Z,1904,zivamagnolyeah
1,2023-02-27T06:42:57.904163Z,1728,Positive,39,udah dengerin Fall In Love Alone, Stacey Ryan ft Ziva Magnolya?,1230,108,1.125,2023-02-27T06:42:57.904163Z,1905,zivamagnolyeah
1,2023-02-27T06:43:06.849001Z,1729,Positive,6,@livyyrenata tutorial hot dong kackk,553,109,8.554,2023-02-27T06:43:06.849001Z,1906,zivamagnolyeah
1,2023-02-27T06:43:08.271859Z,1730,Positive,0,@tiyadyeah @amadearmb dengerin tu asyu @amadearmb,92,110,0.907,2023-02-27T06:43:08.271859Z,1907,zivamagnolyeah
1,2023-02-27T06:43:09.501103Z,1731,Negative,16,RT @zwiva: Mood ga temenan sama yang ga streaming lagu Fall in Love Alone 😉 https://t.co/lVYntyvky8,0,111,0.903,2023-02-27T06:43:09.501103Z,1908,zivamagnolyeah
1,2023-02-27T06:43:10.569155Z,1732,Positive,119,mau pipis,3694,112,0.761,2023-02-27T06:43:10.569155Z,1909,zivamagnolyeah
1,2023-02-27T06:43:11.608934Z,1733,Positive,90,@JeromePolin kalo pinter ngibul gak menarik,1769,113,0.698,2023-02-27T06:43:11.608934Z,1910,zivamagnolyeah
1,2023-02-27T06:43:12.519066Z,1734,Positive,0,@pratami_s @Tuhan,53,114,0.616,2023-02-27T06:43:12.519066Z,1911,zivamagnolyeah
1,2023-02-27T06:43:14.008964Z,1735,Negative,5636,https://t.co/HAen7TUiF1,27012,115,1.175,2023-02-27T06:43:14.008964Z,1912,zivamagnolyeah
1,2023-02-27T06:43:17.197665Z,1736,Positive,20,@Askrlfess uang,417,116,2.881,2023-02-27T06:43:17.197665Z,1913,zivamagnolyeah
1,2023-02-27T06:43:18.009722Z,1737,Positive,1,@yaelahgoib uwuuu,51,117,0.524,2023-02-27T06:43:18.009722Z,1914,zivamagnolyeah
1,2023-02-27T06:43:19.082095Z,1738,Negative,2,@livyyrenata kamunya bisa livy.. tapi dianya… https://t.co/ew2l7eR701,122,118,0.787,2023-02-27T06:43:19.082095Z,1915,zivamagnolyeah
1,2023-02-27T06:43:20.618991Z,1739,Neutral,2,@rizkayuul woi😭,146,119,1.244,2023-02-27T06:43:20.618991Z,1916,zivamagnolyeah
1,2023-02-27T06:43:21.868977Z,1740,Negative,94,gila gue nangis sih kalo line up nya beneran kaya gini HAHA https://t.co/W7DWLBvkKH,2757,120,0.847,2023-02-27T06:43:21.868977Z,1917,zivamagnolyeah
1,2023-02-27T06:43:23.431093Z,1741,Positive,2,@fendysatyah diam ya kamu 🤡,189,121,1.287,2023-02-27T06:43:23.431093Z,1918,zivamagnolyeah
1,2023-02-27T06:43:24.242796Z,1742,Positive,0,@BacotAjaDulu22 dih lirik itu,49,122,0.528,2023-02-27T06:43:24.242796Z,1919,zivamagnolyeah
1,2023-02-27T06:43:25.124118Z,1743,Positive,0,@mygoktsgkkmg ini lebih ke anjing senyum gasih :),32,123,0.567,2023-02-27T06:43:25.124118Z,1920,zivamagnolyeah
1,2023-02-27T06:43:26.029147Z,1744,Positive,5363,“Aku memang kehilangan
Kamu yang sangat ku cintai
Namun kau telah kehilangan
Aku yang sangat mencintaimu” 

-Tiara Andini, Usai,25254,124,0.63,2023-02-27T06:43:26.029147Z,1921,zivamagnolyeah
1,2023-02-27T06:43:26.869180Z,1745,Positive,1,@Asw_Hah viva siape bang,291,125,0.488,2023-02-27T06:43:26.869180Z,1922,zivamagnolyeah
1,2023-02-27T06:43:27.699885Z,1746,Positive,3690,be aba ce oco t,18610,126,0.544,2023-02-27T06:43:27.699368Z,1923,zivamagnolyeah
1,2023-02-27T06:43:28.492839Z,1747,Positive,23,@livyyrenata livy km peratwo?,930,127,0.516,2023-02-27T06:43:28.492778Z,1924,zivamagnolyeah
1,2023-02-27T06:43:29.250892Z,1748,Positive,7808,duh harus bgt ya mandi? males anj,43115,128,0.476,2023-02-27T06:43:29.250892Z,1925,zivamagnolyeah
1,2023-02-27T06:43:30.238938Z,1749,Positive,0,@imacees1 waduh,35,129,0.709,2023-02-27T06:43:30.238938Z,1926,zivamagnolyeah
1,2023-02-27T06:43:31.102632Z,1750,Positive,950,apapun makanannya, 
minumannya teh validasi dari orang sekitar.,6729,130,0.566,2023-02-27T06:43:31.102632Z,1927,zivamagnolyeah
1,2023-02-27T06:43:32.170707Z,1751,Positive,0,@amadearmb jgn di abisin gw mau minta,110,131,0.701,2023-02-27T06:43:32.170707Z,1928,zivamagnolyeah
1,2023-02-27T06:43:32.999286Z,1752,Positive,0,@amadearmb bagus,87,132,0.526,2023-02-27T06:43:32.999286Z,1929,zivamagnolyeah
1,2023-02-27T06:43:33.993003Z,1753,Positive,2,@ciloqciliq HAMPIR DARIMANANYA,290,133,0.709,2023-02-27T06:43:33.993003Z,1930,zivamagnolyeah
1,2023-02-27T06:43:34.841990Z,1754,Positive,161,@seterahdeh yang bener tu “kalo kamu baik, Tuhan pasti baik ke kamu”,1049,134,0.556,2023-02-27T06:43:34.841990Z,1931,zivamagnolyeah
1,2023-02-27T06:43:36.023400Z,1755,Positive,1,@awkarin wkwkwk,74,135,0.713,2023-02-27T06:43:36.023400Z,1932,zivamagnolyeah
1,2023-02-27T06:43:37.019371Z,1756,Positive,3,@amadearmb minta di bengkek mulut lu kalo udah hah hoh hah hoh,197,136,0.72,2023-02-27T06:43:37.019371Z,1933,zivamagnolyeah
1,2023-02-27T06:43:37.881233Z,1757,Positive,5810,kamu gak cape apa haha hihi mulu kalo diluar? giliran sampe rumah, dikamar nangis-nangis.,29670,137,0.562,2023-02-27T06:43:37.881233Z,1934,zivamagnolyeah
1,2023-02-27T06:43:38.903956Z,1758,Positive,106,Lagi tidur rebahan pules kirain ada yang bangunin karna bener-bener kaya di goncangin gataunya gempi 😃,3599,138,0.62,2023-02-27T06:43:38.903956Z,1935,zivamagnolyeah
1,2023-02-27T06:43:39.829195Z,1759,Positive,246,baru sekali kebangun karna gempa,8058,139,0.555,2023-02-27T06:43:39.829195Z,1936,zivamagnolyeah
