created_at,default_profile,description,favourites_count,followers_count,friends_count,id,location,screen_name,statuses_count,verified,account_age_days,account_type
2010-12-09 15:27:52,False,"Maritime attorney w/ @MillsBlackLLP, sailor, & writer on a quest to DC to make the world a better place. #lawtwitter #netneutrality #RedSox",51200,2184,2626,224666841,MD~LA~NY~CA~DC,pfb360,32628,False,3540,human
2012-10-07 17:21:31,False,alma de pipa avoada,3069,1064,172,866648466,unknown,tteodoras,73482,False,2872,bot
2015-09-25 01:55:39,True,,286,10,64,3676578139,"Lilo-An, Central Visayas",ng1susan,562,False,1790,human
2015-02-21 19:48:55,True,all joy no pain | womxn’s ultimate frisbee team at Duke University,2852,371,355,3050579969,Durm,DukeSwerve,4378,False,2005,human
2010-07-08 21:59:31,False,What’s Love EP out now!!!,38599,2724,2638,164438347,"Las Vegas, NV",KillahCam__,218201,False,3694,human
2014-02-11 14:23:42,False,"Realism Painter, Digital Illustrator, and pop culture nerd 🍕🐢⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀  -`･ tayloremathias@gmail.com ･´-  ",3509,93,1024,2337802973,Maine ,tayloremathias,1040,False,2380,human
2014-12-26 06:40:30,True,セクシー下着を身につけた女子はフェロモンがいっぱいですね。お気に入りの画像はＲＴお願いします！,0,916,0,2943615224,unknown,sexy_sitagigazo,3416,False,2063,bot
2015-10-19 05:41:27,True,イン率低め…またいつかあらわれるます‼︎絡みほし^_^！乗っ取られてます…,37,9485,228,3943702392,フォロリプ返します RT/いいね嬉しいです,EpxZqnk,1577,False,1766,human
2009-03-13 04:09:09,False,This is my personal Twitter account. All opinions and points-of-view expressed here are my own. 🌏🌿💚 Be the change you want to see ✌️ #vegan #love #life,15033,752,1536,24124800,"Playa del Rey, Los Angeles",mimian2009,12962,False,4177,human
2017-08-14 16:21:12,False,,27954,352,229,897130996386205696,unknown,TraderA10C,7827,False,1100,human
2009-05-05 21:02:56,False,I sing about stuff I don’t like to talk about and binge watch Friends.,26013,230773,67258,38019317,"Nashville, TN",DerikFein,40954,True,4123,human
2009-07-03 20:18:36,False,"A Licensed Realtor with Douglas Realty.  I have been in the real estate business for 14+ years, a hard-working, dedicated sales professional!",145,70,176,53487108,"Annapolis, MD",Traceyb2225,531,False,4064,human
2012-01-10 15:50:06,False,Snap : Jirkko,6862,72461,10108,460279825,unknown,Jirkko,26249,False,3143,human
2010-10-29 19:54:56,False,"#journalist covers #transportation & #commuting for NJ Advance Media. I'm on https://t.co/zB7ROhBPXE, riding NJ Transit, GSP & bike. Click & read to support",27179,7992,5040,209725175,Commuting through New Jersey,CommutingLarry,46747,True,3581,human
2009-11-20 01:04:07,False,"Eu só quero a calmaria de um lugar, que sopra o vento da paz...",2260,78,30,91236173,unknown,may_vieeira,4539,False,3925,bot
2016-11-15 05:26:37,False,Definitely deplorable.,1362,21,0,798396768627134465,unknown,MonaDorscheid,1398,False,1373,human
2007-03-26 22:30:49,False,The #VMAs are LIVE on Aug. 30th at 8p! ✨,20148,15886561,31047,2367911,NYC,MTV,293344,True,4894,bot
2012-01-10 16:59:54,False,Moldmaking & Manufacturing News,0,296,206,460332176,USA,ultramold,285,False,3143,bot
2011-11-18 19:45:46,False,,88,2,0,415764375,unknown,ronaldcarhuaz,128,False,3196,bot
2011-11-20 20:26:11,True,,778,20,355,417341905,england yorkshire,JEANVINEY,1095,False,3194,bot
2016-03-10 20:41:12,False,"Connecting fathers in the Miami area through meet ups, blogs, workshops and more. Part of City Dads Group.",1088,306,378,708029961681170433,"Miami, FL",miamidadsgroup,331,False,1622,human
2016-08-16 21:18:51,True,we 3 bitcoin 3,1332,15,28,765659108854857729,unknown,venedimnikolae2,1332,False,1463,bot
2017-03-02 16:49:11,True,"Long time progressive, back2 the 60's, I've watched it all come apart once again thanks2the predators
Still stuck behind Twitter's stonewall of 5,000 Followings",67588,3327,4999,837344043021570049,ocala  florida,MichaelGreens12,50443,False,1265,bot
2009-05-03 20:05:54,False,“Having a daughter does not make a man decent. Having a wife does not make a decent man. Treating people with dignity and respect makes a decent man.” @AOC,7125,180,588,37489316,"New Orleans, LA",Maggerdoodle,2584,False,4125,human
2010-12-15 18:03:52,False,"Hey, we r The Sabys a school girl band tryin' to make our dream come true.",56,3,0,227019467,"Saudi,Arabia",TheSabys,112,False,3534,bot
2009-11-25 15:23:38,False,•1st Male Winner of Americas Next Top Model •Former NFL player Eagles and New York Giants •Actor/Model/Mogul,16516,40123,2713,92544265,"Los Angeles, CA",Keith_Carlos,22127,True,3919,human
2016-05-21 14:58:13,True,长满眼睛。,942,21,46,734035576068788225,"Tokyo-to, Japan",RUMI_0619,366,False,1550,bot
2011-02-06 16:25:38,False,"Family, Friends, Music, good Movies, Books, Craft Beer & Twitter... The necessities of life! Remember always that ETHICS are important!  🌊🌊🌊 #Resist #FBR",15031,3668,3696,248259880,MN,wilycyotee,15638,False,3481,human
2010-12-15 00:30:24,False,Old enough to have my life together... but I don't,5062,57,411,226757393,"Planet Earth, StarDate -309401",BLC2789,896,False,3535,human
2008-12-24 15:35:34,True,,769,5,57,18359142,Beaumont texas,rob808_2002,1225,False,4255,bot
2011-08-13 07:10:11,True,,96,4,28,354162350,Днепропетровск,AleksandrZorin,14,False,3294,bot
2011-12-21 18:47:15,False,God first • Psalm 139:14 #ABQT,26820,208,225,443030647,unknown,atira_latrese,4988,False,3163,human
2009-04-28 00:07:01,False,"I write books! Next up: Skyhunter (Sept. 29, 2020). Messing with your OTPs since 2011. she/her",30377,105389,757,35916009,"Santa Monica, CA",Marie_Lu,33458,True,4131,human
2010-03-04 17:54:28,False,*Burgh Verified* Mom/Step Mom to 5. PR professional/storyteller; advocate for women. Slow & steady runner. IPA lover.,2926,2494,2395,119802157,Pittsburgh,JustHollieG,11134,False,3820,human
2016-11-09 07:27:10,True,I dabble in the art of talking with my butt.,2241,11,0,796252778066743296,"Fontana, ca",PunchDrunkRina,3089,False,1379,bot
2010-09-21 07:17:32,False,,1860,579326,476,193205108,"ÜT: -6.3434396,106.8207758",AlberthieneE,81717,False,3620,human
2017-12-07 02:39:13,True,"Small business owner: Landscaping
""I'm only here to voice my opinion""",948,47,177,938598744747941888,Idaho,thometz_sr,2036,False,986,human
2017-11-08 17:33:43,True,,0,5,0,928314603376742400,unknown,FilmRevisionist,1763,False,1014,bot
2011-05-14 15:36:12,True,"Hhiiiiiiiiii Im Whisper, Book Worm. I Love Wattpad &",2234,34,0,298585488,united states !,Whispeyy_Lovee,3365,False,3384,bot
2008-08-05 14:06:35,False,"Editora de moda, jornalista, escritora, curadora-adjunta de moda do MASP https://t.co/5xIUh1qj4g @lilianpacce",17515,606920,676,15736267,São Paulo,LilianPacce,46570,True,4396,human
2009-11-03 22:42:07,False,"UFC fighter, livin the dream! hunting, fishing and the outdoors are my passion.Managed by @mmainc
https://t.co/7HQA99xTxF",6,265107,609,87302683,sacramackramento,chadmendes,20684,True,3941,human
2013-03-08 17:13:18,True,,2368,19,0,1252265444,"Chicago, IL",webster215,3227,False,2720,bot
2009-06-13 17:43:20,False,"Phoenix, Az🏜️

In love with @leonorsymonds 💟",5960,110,100,46928242,"Hermosillo, Sonora",aleexhoze,19641,False,4084,human
2014-12-12 23:35:45,False,Sogna la tua vita a colori: è il segreto della felicità. 🌈,253,317,413,2918711542,"Florencia, Toscana",TinoVale23,3110,False,2076,bot
2012-03-27 20:08:15,True,https://t.co/5rVvVSd6Cs,2183,636,949,538446976,unknown,itsthotshit,13314,False,3066,human
2010-08-14 08:04:12,False,,329,6,0,178260000,california,kat8815,437,False,3658,bot
2009-10-16 10:00:51,True,Vou filosofar? Sim. Vocês irão gostar? Talvez. Esse twitter é real? Não. É uma crise pontual. Ou não.,6,290677,339,82843602,Brasil,oclebermachado,8962,False,3960,human
2016-09-04 16:45:04,True,Hey,45,5,0,772475576779214848,unknown,IvkovichGeri,105,False,1444,human
2012-04-03 11:57:45,True,,9525,66,972,544214527,unknown,andersson_93,3402,False,3059,bot
2012-02-04 03:34:22,False,,6002,76,1681,482610286,"40.79363,-76.410765",johnson424215,566,False,3119,human
2012-06-01 09:25:11,False,News from the European Data Protection Supervisor (EDPS). Account managed by the EDPS Information & Communication team. Disclaimer: https://t.co/87Ywlcz2kt,1497,21046,3025,596377986,"Brussels, Belgium",EU_EDPS,4616,True,3001,human
2016-03-11 20:48:29,True,"Word as color, once a day. A CBDQ bot by @lyyyndseyyy.",0,295,0,708394182595883008,unknown,hashfacade,1567,False,1621,bot
2010-06-09 01:12:50,False,"Mamá enamorada perdidamente de Rufina, Magnolia y Amancio ❤️ Instagram: sangrejaponesa ---- 🎬",1704,3912094,507,153619589,"En las nubes, casi siempre.",chinasuarez,11151,True,3724,human
2016-09-21 11:15:43,True,simplenteyo..  beauiful and appy,326,0,0,778553286022533120,unknown,BurgerDarceytai,661,False,1427,human
2010-03-12 17:35:53,False,"Benedito João dos Santos Silva, Beleléu",36116,127,519,122428644,Brazil,raphael_gpontes,17003,False,3812,human
2009-07-23 16:35:45,False,"Tato Cepeda, Publicista con énfasis En estrategia comercial y medios. Believe it or not, I'm walking on air. 📻",40418,264723,1140,59515114,Bta Colombia.,TatoCepeda,50406,False,4044,human
2012-09-19 13:41:55,True,"22 • queer • aries • tcu alum • theatre artist • dreamer • vegan • ACAB or bust • #BLM • lover of music, travel, womanism & sunshine  🌈🌻{ She/Her/Hers }",35315,1033,890,833356976,NYC,HippyHill_,42784,False,2890,human
2014-01-20 12:57:25,True,Humble girl. Cosplay master / Unicorn. Waiting you at https://t.co/t67GXWK0jP,245,10,0,2301364213,unknown,semsemich1,37,False,2402,bot
2010-06-11 22:13:40,True,"Periodista, El Café Picante en Youtube",35176,139669,419,154670681,"Bogotá, D.C., Colombia",amoralesan,44572,False,3721,human
2012-07-07 15:28:53,False,Munich | Germany | 24,2238,1,25,629413127,Munich,_hubernhard_,5810,False,2964,bot
2012-11-10 22:14:40,True,야구단코치  우리의 포텐을  터트릴때가  이제왔어  우승하는걸  보여줘야한다.힘내자 나는 거인,76,33,801,940050242,"Busan, Republic of Korea",jonghoekjung,154,False,2838,bot
2010-10-22 04:55:34,False,"SAG Actress•TVhost•VEGAN•Beauty Editor EVENTOS Magazine •crueltyfree & VEGAN skin care line 🐰🌱 ""Cataño by Aniise""•VoiceOver talent•Entrepeneur•PETA Advocate•",15894,23697,909,206049898,unknown,CatanoOfficial,27053,True,3589,human
2009-01-05 02:56:50,False,#ArtDirection #Makeup #Hair #WardrobeStyling #Influencer #Contributor - Founder @KsStylingTeam - #LeadHairStylist @DearWhitePeople movie.,7065,3017,823,18621244,Minneapolis - NYC - Chicago,KimberlySteward,10729,False,4244,human
2011-08-12 11:54:32,False,"Freelance Focus Puller
Marmara Üniversitesi",1398,126,0,353636529,"İstanbul, Türkiye",salakern,2097,False,3294,human
2008-11-11 06:36:03,False,"the fuck 2020
she/her
#wearamask #blm",43082,408,620,17304859,SoCal,CellistPond,23200,False,4299,human
2010-01-08 16:30:42,False,,22,261,0,103025630,"Niterói, Brasil",mynameisjhu,963,False,3875,human
2011-04-08 07:25:23,True,,85,4,0,278927480,unknown,Shataya13m,108,False,3421,bot
2011-08-19 11:11:32,False,Le follie sono le uniche cose che non si rimpiangono mai .,48,119,281,358095633,unknown,Blackdogptf,2381,False,3287,human
2010-02-18 10:52:28,False,I am here just to express myself ...,7612,5362,355,115343506,"Lahore, Pakistan",najamwalikhan,10273,False,3835,human
2014-04-15 02:23:06,True,"Senior SDET @RenttheRunway | Former @wework, @tumblr | dog enthusiast | #ssbm | reblogger of memes | #wholesome to the core",3123,338,986,2444756510,NYC,justcantethan,2842,False,2318,human
2011-03-27 23:29:28,False,"I'm the villain of my own story, and perhaps yours.",8431,94,108,273159476,"Kansas City, Missouri. USA",ACEMoney1138,2484,False,3432,human
2018-02-12 00:13:02,False,"Enby Transgirl (She/They) who likes robots, yuri, monster girls/enbies. Commie Autobot. Toy photographer. Lesbian except for Rodimus. 🏳️‍🌈🏳️‍⚧️",4755,47,352,962841941242150912,"South Carolina, USA",SwordyMeeks,2634,False,919,human
2011-09-26 17:44:32,False,SPTA at Owens Community College. Graduate in May and that's when I'll have my life back....,2317,18,0,380457314,unknown,SamanthaJune666,3204,False,3249,bot
2014-12-05 15:08:43,True,welcome if you didn’t know I love my friends and phineas and ferb,72554,1926,793,2919763790,phineasland // she/her // 21 ,carlybella_,44141,False,2083,human
2009-03-04 18:36:20,True,"Economics Editor, BBC. Fin crisis book @theDefaultLine .. Brexitologist. Host award-winning 2016 EUref TV interviews & 2017 live GE debate. United ST.",2744,357886,9997,22812734,London(head) Manchester(heart),faisalislam,77157,True,4185,human
2013-02-25 18:23:24,True,,2152,62,0,1219499012,unknown,DanAngus91,3208,False,2731,bot
2008-12-23 20:26:45,False,Watashi wa choudo nani ga juuyou ka mitsukeyou toshite iru,2015,207,546,18341548,"Newark ,NJ ",GustavoEstrella,5396,False,4256,human
2016-09-03 21:38:05,True,BUCK50NTCM.D NJ,47,0,0,772186930427682817,unknown,Eagle_Puchajda,101,False,1445,human
2013-09-06 03:22:02,False,,4922,438,357,1733822028,"Littleton, Colorado",NickkRowell,6827,False,2539,human
2011-03-27 11:41:16,True,,6,16,0,272893712,unknown,paulrgreg,137,False,3432,human
2011-04-19 08:26:12,False,,1019,28,122,284435811,Chi-Town,Rude_Boy31,1568,False,3410,bot
2018-04-05 04:49:00,False,"Work in progress bot. Extremely accurate horoscopes tweeted twice daily. Made by @splotchoncarpet using Cheap Bots, Done Quick!",0,57,3,981755559195086848,The Universe,astrology_bot,1682,False,867,bot
2012-12-10 20:40:12,True,,1663,10,0,1002441816,unknown,chiacruz14,2340,False,2808,bot
2010-04-13 02:56:21,True,"Film actor, artist, painter, humanitarian",1,41478966,24,132385468,MUMBAI,BeingSalmanKhan,42885,True,3781,human
2009-12-06 00:13:34,False,"24, EFL teacher, LG(B)T+

|Jonatic|Larrie|OT5| 

#Apruebo #ConvenciónConstituyente















Personal / fan account 🐧",29970,1835,2570,94896901,Chile,iJonasStylinson,65537,False,3909,human
2011-08-04 19:56:51,False,(sic),1837,10,2,348659308,unknown,Haush13838782sh,3831,False,3302,human
2008-01-23 08:13:23,False,STEF BLACK (they/them) is very mean about politics. Sub my YT for cute turtle + communist bile. Now is the time to wear neon & sharpen. Logos by IG: karatimmons,66702,829,1865,12585462,"Los Angeles, CA",NotEasyAnswers,38332,False,4592,human
2011-07-27 14:59:26,True,love everthing about beauty...,1563,15,0,343415230,China,vincichen1231,2068,False,3310,bot
2015-06-16 02:49:26,False,Assistant Principal Landis Elementary.,301,136,249,3246396084,"Houston, TX",alghuizar,241,False,1891,human
2013-02-04 16:28:57,False,No more than a person. No less than a person.,33772,1623,1750,1148460439,unknown,E_c_h_o,33048,False,2752,human
2012-07-24 14:08:57,True,,18,4514,32,714349706,unknown,EvaHerzigova,154,False,2947,human
2014-04-28 18:06:27,False,family#cycle#travel#garden#decor,2191,23,319,2468088978,Chesterfield MO,bmore1051,2868,False,2304,bot
2009-03-08 17:39:22,False,I am just me being ME!!,2583,108,0,23331044,iowa! nothing but corn:) ,EdwardCAddict,5626,False,4181,bot
2008-10-29 11:52:26,False,Mak kau cakap kau boleh - FB/Insta: inchekubi,342,1491,158,17039652,unknown,inchekubi,4339,False,4311,human
2013-04-25 12:53:52,False,Click the link to hear my new song suck that dick okay!,68309,59608,6924,1379409475,DMV ,DMVMOSTFAMOUS,141642,False,2672,human
2011-09-05 00:42:39,False,@WashingtonPost reporter: Now I write about DC government. I used to write about religion in America. Author of Conning Harvard (@Lyons_Press). Balloon twister.,4282,9179,1275,368050288,"Washington, DC",JulieZauzmer,11104,True,3271,human
2011-02-24 21:50:05,True,sono parte di max,103,41766,270,257169121,varese,brunoficodindia,7060,False,3463,human
2016-08-27 20:30:54,False,@abigailacortez  shu shu ye ye 💮,13226,1013,33,769633309722763264,unknown,Boqur,733,False,1452,human
2009-03-08 18:57:40,True,Do you like it gently? Come in! 💚💚💚 https://t.co/fFjCLS1VHG,326,12,0,23339809,unknown,dukeyc,62,False,4181,bot
2012-10-13 18:47:52,False,Chaos in my silence,3576,714,387,878449580,Kuala Lumpur Federal Territory,MohdShahmi_9,31154,False,2866,human
2014-04-03 16:39:44,False,"stories with a point of view, brought to you by condé nast",3257,53547,258,2425882104,unknown,heyiris,21218,True,2329,human
2009-11-07 01:15:39,False,"Mexicana que aprendió inglés con inglés sin barreras, y ahora es bien kool. SC: ugh_itsher",322,121,101,88081160,Tierra Santa,_amy00,23163,False,3938,human
2016-09-04 15:24:58,True,"La vida es demasiado corta para que malgastes tu tiempo odiando a alguie, deja de hacerlo y empieza de disfrutar de verdd. Todosєn Favoяitos. 01.11.11 ‹з",67,0,0,772455418455007234,unknown,Tamisha_Hamster,147,False,1444,human
2010-01-13 20:47:41,False,"Technical Partner to U.S. Soccer. Official Partner to United Soccer Coaches and Canadian Soccer Association.⚽️ 

#KwikGoal | #KwikGoalTravels",2014,4140,1052,104600968,"Quakertown, PA",KwikGoal,4118,False,3870,human
2011-05-29 08:04:44,True,藍屋敷おくむらweb masterのTwitter。　http://t.co/BUWlcHsNyI　http://t.co/OIvc5r5Box　http://t.co/PG8UFADuoX #徳島 #藍染 #藍染め,19868,83404,91815,307233876,日本,aizome_jp,56015,False,3370,bot
2013-07-12 04:25:44,False,,1876,43,0,1587544788,"Tijuana, Baja California",PopDpp,2799,False,2595,bot
2009-06-26 01:31:19,False,Senior NFL reporter for Yahoo. Always outnumbered. Email me at: WindyCityScribe@yahoo.com.,420,115053,611,50863281,An NFL city near you,CharlesRobinson,10633,True,4072,human
2016-09-13 19:56:06,True,"DIvertio0.alegre .. indo ^^ .. Chido ,,:XD muy Ablador... histosoo y, todo  lo qe tenga qe ver co lo chido ... oye zama...... :D    0.o",51,1,0,775785142761717761,unknown,LianeCarr3,137,False,1435,human
2012-08-28 04:29:31,False,"A Philomath, Realist, Gentleman, Positive Motivator, Geek, MSIT in Project Management, Alpha Beta Kappa. #INTJ #Bi #Scorpio♏ #Fitness #Diversity",41740,1621,2137,786179388,"Virginia, USA",Intense_XEnergy,24209,False,2913,human
2012-04-03 01:27:32,True,,2166,33,108,543958578,unknown,hecrmz,2993,False,3060,bot
2009-02-02 19:42:55,False,Award-Winning Romance Author. Genre Hopper. Avid indoorswoman. Mental health advocate. Fun Aunt. Dog lover. Small Town Famous. (she/her) #amwritingromance,23464,2237,1423,19925621,"Oklahoma, USA",Jess_Bry,13448,False,4215,human
2008-12-12 23:26:18,False,,2784,1318800,20,18088810,unknown,edu,3995,True,4267,human
2014-03-21 04:37:32,False,"Movies, Plays, Books, Music, Politics, News  (ugh, I'm generic)",17210,101,166,2426151005,"Roanoke, VA",sctrke1,12964,False,2343,human
2009-05-24 13:48:12,False,"Cali girl made in Canada ‘93 🍁 snap: KhloeTerae Insta: @Khloe Maxim, Playboy, & Sports Illustrated! 🧩Autism Advocate🦋 #TeamJames",53628,618660,2506,42213904,"Marina del Rey, CA",khloe,42796,True,4104,human
2011-08-20 17:17:57,False,Catchin' speeders for like 100 years. I'm probably watchin' a #VHS or talkin' about cool animals.,57433,2504,802,358880317,"Mobile, AL",jasonburglar,6845,True,3286,human
2011-04-04 17:49:40,False,down to earth. out of this world. Alhamdulillah. Instagram: @thehoney215,9147,938,565,277094318,Philly & the vicinity...,TheHoney215,70425,False,3424,human
2009-03-17 16:24:02,False,IG @TheJuelzSantana #HaterGoneSuffer #Born2LoseBuilt2Win! #YallNiazKnowMe #WelcomeBack2Harlem #AP,92,1370342,693,24906723,"Harlem, NYC",thejuelzsantana,12836,True,4172,human
2009-07-14 06:58:48,False,,657,15257882,96,56631494,unknown,shahidkapoor,7503,True,4054,human
2012-06-18 08:14:33,False,(MAGANDA LANG ANG MAKAKARELATE)PROMOTION: DM US :),250,68745,0,611582397,Wala kang PAKE!,BahayniQuotes,4857,False,2984,human
2015-01-09 11:52:44,False,#BLACKPINK + #LISA,31718,445,360,2969049684,327,JessaGarciano,19427,False,2048,human
2010-03-02 12:45:02,False,"Official Twitter of U.S. Embassy Yerevan, Armenia",123,88005,353,119023613,See us on Facebook!,usembarmenia,16782,True,3822,human
2009-02-24 15:14:27,False,Former 3 time NFL All Pro now on https://t.co/K4L1ocBCQY Cofounder of @lightsoutxf MMA,33970,449322,5041,21761627,United States,shawnemerriman,42659,True,4193,human
2012-08-20 11:58:04,False,"Mi viene da vomitare.  

                                                                                
Dove sono le mie Jordan?",81967,5281,581,769392715,Oblio,RichiMasu,106263,False,2920,human
2016-03-19 04:45:28,True,,5282,18,636,711050934109876224,unknown,anotherWoWnerd,1316,False,1614,human
2009-05-09 04:42:13,False,#StarPatrol #TVPatrol @ANCAlerts #Sportstalk #Chismax @DZMMTeleradyo #DogLover #Swimmer #UPFight gretchenfullidogf@gmail.com,3783,856548,1537,38799543,unknown,gretsfullido,36587,False,4120,human
2011-02-17 11:06:30,False,HUMORISTA Y MAGO DE LAS COSAS PEQUEÑAS,1353,801138,710,253499949,"Madrid, Spain",PiedrahitaLuis,13292,True,3470,human
2014-04-27 03:12:13,True,Live & let live...,37283,179,801,2465466121,☀️,fabulush76,5610,False,2306,human
2011-06-18 10:03:45,False,Елизавета Вальдемаровна https://t.co/Mm58Cj1Tmq; https://t.co/9xXTA2VvyK; https://t.co/Z3uG2uxe8S,16629,1928000,335,319561543,"Россия, Москва",elkasinger,18998,True,3350,human
2014-03-29 10:23:43,True,Cosplay master/Beauty. Waiting you at https://t.co/smgkZFptbe,349,21,0,2444232436,unknown,RobertoBattag14,60,False,2335,bot
2014-02-16 15:04:44,False,聡シャルディスタンス,24691,710,150,2346985328,🥀𝐦　🌏𝐮　🐯𝐦　🍹d,aine_mssp,14033,False,2375,human
2013-07-19 02:28:56,False,Fashion & Style | O.R. Personnel 🏥 | MPH 👩🏾‍🎓〽️| Hospital Epidemiology 🦠| Public Health 📊 | X-Files 👽| #BlackinSTEM 👩🏾‍🔬 | Outdoorsy 🥾🧗🏾‍♀️⛷🚣🏾‍♂️,5030,748,830,1604847120,"Ann Arbor, MI",styledscience,4298,False,2588,human
2009-05-18 15:42:31,False,just another papercut survivor,35712,72802,773,40898254,unknown,Jax,3061,True,4110,human
2016-03-11 01:35:53,True,Live cherish and then giggle.... The exciting human being which is normally smiling and having fun. Adventurer and energetic individual,1234,0,0,708104123237998592,Topeka,alekseyihysem,1235,False,1622,bot
2014-07-24 04:07:29,False,If the good die young I'm screwed because I'm fucking great.,7312,40,165,2675708408,"Lima, OH",Wombat_Combat95,4424,False,2218,human
2012-07-22 23:50:04,True,cats are cool.,2613,15,0,711465529,unknown,serenalikespie,4214,False,2949,bot
2011-06-12 05:24:24,False,✨the wound is the place where the light enters you. -rumi✨// Mental Health Advocate 🧠// West Michigan✋🌷// Førest Fåm⚡🌲// Human Being 👁//,7944,130,124,315623483,"Zeeland, MI",LettuceGoddess,5603,False,3356,human
2017-02-15 04:21:50,True,What was President Obama doing four years ago? • Unofficial account live tweeting Obama's second term in office • This Twitter bot was made by a human named Ash,0,2052,8,831720146091716608,Estados Unidos,ObamaLivesOn,5196,False,1281,bot
2010-11-12 01:21:06,False,"💚 🅳🅸🅴 🆃🆁🆈🅸🅽🅶







































¡TE VOY A AMAR ETERNAMENTE! 25/04/19 Fefe 🖤",18260,1485,468,214705156,"Santa Fé, Argentina",AsconaBabi,13550,False,3568,human
2010-07-04 18:26:07,False,Booking: +79251426632 PR: +79268613439,25,1079525,201,162799522,Los Angeles,ANNA_SEDOKOVA,16476,True,3698,human
2015-01-11 21:11:52,False,Composer | He/Him/His.,6857,972,2150,2975340894,USA,JonahElrod,1482,False,2046,human
2008-11-23 15:21:22,False,"Dedicated family man, entrepreneur, builder, financial contrarian and writer.",11076,29490,195,17573691,"Central Michigan, US",tbohen,21195,False,4286,human
2011-06-12 16:13:29,False,"Writer. Storyteller. Editor. Queer. Proud nerd. She/Her 

I write about books at https://t.co/lBF3OS6QXV",3318,103,290,315886893,Wanted on Bespin,ellekam,4537,False,3355,human
2016-06-02 21:24:58,True,Model / DC fan. Waiting you at https://t.co/IPITDTAMWJ,419,18,0,738481556914884608,unknown,Aich1974,80,False,1538,bot
2014-11-10 19:24:34,False,,39513,2002,1908,2871008877,unknown,techphix,51565,False,2108,bot
2010-04-06 21:51:21,False,"MC. Writer of Black and Yellow. Owner/Executive Chef, Nobu. Architect of Falling Water and Burj Khalifa.",17654,24444,1573,130286723,"Mordor, New Jersey",austintylerro,9160,True,3787,human
2017-03-20 12:18:26,True,The Amazon Store contain electronic and gadget also it reiew o refrene before you buy,132,0,0,843798888481927168,unknown,xqoqkkxjbcvvt21,251,False,1247,human
2012-04-19 16:20:40,False,"Flooring store providing carpet, hardwood, laminate, tile, vinyl to our friends and neighbors in our town, the surrounding communities and beyond!",1,93,233,557842655,Wisconsin,DMInteriorsFA,3733,False,3043,human
2011-08-09 19:07:11,True,prolly somewhere dabbin,3850,390,0,351799946,NYC & The bay,mrBrehm860,26143,False,3297,bot
2010-01-22 18:10:24,False,"A rose that grew from concrete. Baltimore grown #mestiza 🇵🇭 Morning radio host 5a-10a on @magic1021fm Athens, GA  FB: Alichia Angeles Cruz",1519,3699,1981,107481236,ATL ~ WorldWide,acruzlive,18482,False,3861,human
