annotator,updated_at,annotation_id,sentiment,retweet_count,text,like_count,Unnamed: 0,lead_time,created_at,id,username
1,2023-02-27T06:54:51.015317Z,1834,Positive,2,@Ariedwart UDAH BUBAR JUMATAN ITU SETAN LU YA,153,14,0.519,2023-02-27T06:54:51.015317Z,2011,jek___
1,2023-02-27T06:54:51.916533Z,1835,Positive,0,@amarserius :),16,15,0.535,2023-02-27T06:54:51.916533Z,2012,jek___
1,2023-02-27T06:54:52.581887Z,1836,Positive,1,@Tedhy1908 baru juga mulai satttt,60,16,0.419,2023-02-27T06:54:52.581887Z,2013,jek___
1,2023-02-27T06:54:53.255093Z,1837,Positive,78,#ceritajumatan,932,17,0.402,2023-02-27T06:54:53.255093Z,2014,jek___
1,2023-02-27T06:54:54.166738Z,1838,Positive,0,@Bola_Boris santai ga takut keliatan si cahyadi gi kriput,0,18,0.551,2023-02-27T06:54:54.163726Z,2015,jek___
1,2023-02-27T06:54:55.106187Z,1839,Positive,0,@parbellak_ pernah sekali trus dihadiahin sabetan tiang umbul2,5,19,0.56,2023-02-27T06:54:55.106187Z,2016,jek___
1,2023-02-27T06:54:55.850957Z,1840,Positive,0,@biputtt alo kak,0,20,0.456,2023-02-27T06:54:55.850957Z,2017,jek___
1,2023-02-27T06:54:56.501625Z,1841,Positive,0,@namakudava dikata mau perang suku kali y,0,21,0.366,2023-02-27T06:54:56.501625Z,2018,jek___
1,2023-02-27T06:54:57.145619Z,1842,Positive,0,@sozealita persis,6,22,0.375,2023-02-27T06:54:57.145619Z,2019,jek___
1,2023-02-27T06:54:57.796187Z,1843,Positive,0,@AXISgsm ngeluarin percikan api,4,23,0.391,2023-02-27T06:54:57.796187Z,2020,jek___
1,2023-02-27T06:54:58.469494Z,1844,Positive,0,@aidassii des rait,0,24,0.38,2023-02-27T06:54:58.469494Z,2021,jek___
1,2023-02-27T06:54:59.123774Z,1845,Positive,0,@Zulfamuu gpp bisa disimpul pita,2,25,0.386,2023-02-27T06:54:59.123774Z,2022,jek___
1,2023-02-27T06:54:59.793866Z,1846,Positive,0,@medyafr___ sweet,1,26,0.398,2023-02-27T06:54:59.793866Z,2023,jek___
1,2023-02-27T06:55:00.763607Z,1847,Positive,0,@fry_chese slengky kena angin dikit ena adem kek gerimis subuh2,1,27,0.709,2023-02-27T06:55:00.763607Z,2024,jek___
1,2023-02-27T06:55:01.863332Z,1848,Positive,0,@mfthazm warga hanya ingin menikmati kemolekan tubuhku,15,28,0.753,2023-02-27T06:55:01.863332Z,2025,jek___
1,2023-02-27T06:55:02.563693Z,1849,Positive,0,@MahardikaSW iya sambil mainin selang damkar,0,29,0.442,2023-02-27T06:55:02.563693Z,2026,jek___
1,2023-02-27T06:55:03.223161Z,1850,Positive,0,@ayusriraha_ mere pyare thumpse pyar hotahe,9,30,0.377,2023-02-27T06:55:03.223161Z,2027,jek___
1,2023-02-27T06:55:05.995540Z,1851,Negative,201,nikmatnya punya rumah sendiri setelah menikah tuh kerasa banget kalo lagi kebelet mau berak, sambil lari2 kecil uda… https://t.co/mDSkVk4bXb,1944,31,0.788,2023-02-27T06:55:03.828172Z,2028,jek___
1,2023-02-27T06:55:10.376000Z,1852,Positive,0,@zhilannz dah lah,1,32,2.597,2023-02-27T06:55:10.376000Z,2029,jek___
1,2023-02-27T06:55:11.619728Z,1853,Positive,0,@ItuKutil plin plan lu ah,1,33,0.949,2023-02-27T06:55:11.619728Z,2030,jek___
1,2023-02-27T06:55:12.842049Z,1854,Positive,0,@papadanbayi this ini maunya terkenal di langit,2,34,0.691,2023-02-27T06:55:12.842049Z,2031,jek___
1,2023-02-27T06:55:13.501338Z,1855,Positive,0,@Nitt277 diyam,1,35,0.406,2023-02-27T06:55:13.501338Z,2032,jek___
1,2023-02-27T06:55:14.495693Z,1856,Positive,0,@Hilmi28 kenapa analoginya harus firaun sih tad 😭 kan ada keluarga imran yang lebih sesuai dengan pribadiku yang,295,36,0.735,2023-02-27T06:55:14.495693Z,2033,jek___
1,2023-02-27T06:55:15.347941Z,1857,Positive,0,@norhaidir @disangka tida,0,37,0.56,2023-02-27T06:55:15.347941Z,2034,jek___
1,2023-02-27T06:55:16.090439Z,1858,Positive,2,klik langganan aja apa ya :(,181,38,0.452,2023-02-27T06:55:16.090439Z,2035,jek___
1,2023-02-27T06:55:16.857198Z,1859,Positive,0,@Cadburydairy__ olok2an ini lah yang kutunggu,8,39,0.52,2023-02-27T06:55:16.857198Z,2036,jek___
1,2023-02-27T06:55:17.791343Z,1860,Positive,0,@GagasJanggan mang itu tujuannya,1,40,0.652,2023-02-27T06:55:17.791343Z,2037,jek___
1,2023-02-27T06:55:18.432965Z,1861,Positive,1,@dayatpiliang bukan mba,11,41,0.373,2023-02-27T06:55:18.432965Z,2038,jek___
1,2023-02-27T06:55:19.158871Z,1862,Positive,0,@fajarMSyarif kalo gw dapet yg 200 jutaan bayarin mau kh,2,42,0.476,2023-02-27T06:55:19.158871Z,2039,jek___
1,2023-02-27T06:55:19.859566Z,1863,Positive,0,@ryandirachman ganti land cruiser lah,3,43,0.443,2023-02-27T06:55:19.859566Z,2040,jek___
1,2023-02-27T06:55:20.854675Z,1864,Positive,0,@disangka serius ada, under 200 juga ada, kan tinggal fasilitas hotelnya dan bintangnya yg berkurang,8,44,0.725,2023-02-27T06:55:20.854675Z,2041,jek___
1,2023-02-27T06:55:21.598980Z,1865,Positive,0,@tulalulit ini mau jilat,2,45,0.48,2023-02-27T06:55:21.598980Z,2042,jek___
1,2023-02-27T06:55:22.359057Z,1866,Positive,0,@asephidiru nyuruh emak biasanya langsung nawar 5rebu,6,46,0.465,2023-02-27T06:55:22.359057Z,2043,jek___
1,2023-02-27T06:55:23.113355Z,1867,Positive,0,@KurihingMeratus mendang mending mendang mending tay kotoq,1,47,0.389,2023-02-27T06:55:23.113355Z,2044,jek___
1,2023-02-27T06:55:23.813778Z,1868,Positive,0,@whatsupram beda blue itu hei daun binahong,5,48,0.412,2023-02-27T06:55:23.813778Z,2045,jek___
1,2023-02-27T06:55:34.867266Z,1869,Negative,2,@Alfin_Nur_F____ INI MULU BGST,52,49,10.768,2023-02-27T06:55:34.867266Z,2046,jek___
1,2023-02-27T06:55:36.236794Z,1870,Positive,0,@kamiiil__ suuuuuuuuuu,15,50,1.015,2023-02-27T06:55:36.236794Z,2047,jek___
1,2023-02-27T06:55:36.995554Z,1871,Positive,0,@arianifitriw masi pke itu kh,1,51,0.451,2023-02-27T06:55:36.995554Z,2048,jek___
1,2023-02-27T06:55:37.725415Z,1872,Positive,0,@taufiqrrhmnn lah iya neng,6,52,0.423,2023-02-27T06:55:37.725415Z,2049,jek___
1,2023-02-27T06:55:38.640745Z,1873,Positive,1,@noyusimi jalur maksa nendang pintu ini,9,53,0.601,2023-02-27T06:55:38.640745Z,2050,jek___
1,2023-02-27T06:55:39.295084Z,1874,Positive,0,@rony_onay iya sih 😔,40,54,0.389,2023-02-27T06:55:39.295084Z,2051,jek___
1,2023-02-27T06:55:40.026841Z,1875,Positive,0,@azwarpahreza itu dia masalahnya,6,55,0.449,2023-02-27T06:55:40.026841Z,2052,jek___
1,2023-02-27T06:55:40.727905Z,1876,Positive,0,@Nangim__ gamaw, murah,1,56,0.39,2023-02-27T06:55:40.727905Z,2053,jek___
1,2023-02-27T06:55:41.384477Z,1877,Positive,0,@urfavssyantik BELOM,1,57,0.372,2023-02-27T06:55:41.384477Z,2054,jek___
1,2023-02-27T06:55:42.164987Z,1878,Positive,0,@andikabp__ 170-300 ada, tergantung dari,2,58,0.485,2023-02-27T06:55:42.164987Z,2055,jek___
1,2023-02-27T06:55:43.479628Z,1879,Negative,279,165ribu per bulan untuk centang biru

duit segitu mending ditabung buat naik haji furoda, tinggal nambah 200 juta a… https://t.co/hYiaBmeSIt,2095,59,1.036,2023-02-27T06:55:43.479628Z,2056,jek___
1,2023-02-27T06:55:44.463020Z,1880,Positive,0,@rbadrya anak dah brp,1,60,0.717,2023-02-27T06:55:44.463020Z,2057,jek___
1,2023-02-27T06:55:45.902504Z,1881,Positive,0,@yuliastriindra tolong mulutnya disewain satpam ya,1,61,1.174,2023-02-27T06:55:45.902504Z,2058,jek___
1,2023-02-27T06:55:49.243668Z,1882,Positive,0,@vinotm andai dia mau jual lagi 😔,4,62,3.079,2023-02-27T06:55:49.243668Z,2059,jek___
1,2023-02-27T06:55:50.171602Z,1883,Positive,0,@emangkitaapa ada org kek gt?,1,63,0.668,2023-02-27T06:55:50.171602Z,2060,jek___
1,2023-02-27T06:55:51.041851Z,1884,Positive,0,@permixue coba liad,1,64,0.603,2023-02-27T06:55:51.041851Z,2061,jek___
1,2023-02-27T06:55:52.345961Z,1885,Positive,0,@Abedeuel apa,1,65,0.811,2023-02-27T06:55:52.345961Z,2062,jek___
1,2023-02-27T06:55:53.923739Z,1886,Positive,14,twitter lagi done kah? tes tes tis,714,66,1.284,2023-02-27T06:55:53.923739Z,2063,jek___
1,2023-02-27T06:56:00.756027Z,1887,Negative,27,lah ayo, ini yang ditunggu-tunggu

a thread https://t.co/wSMy4Y14uM,517,67,4.308,2023-02-27T06:55:55.116305Z,2064,jek___
1,2023-02-27T06:56:58.829017Z,1888,Positive,0,@kinoearsyd satttt,3,68,1.572,2023-02-27T06:56:58.829017Z,2065,jek___
1,2023-02-27T06:57:03.254096Z,1889,Positive,1,@ssunrisecool jawab slm,0,69,1.194,2023-02-27T06:57:03.254096Z,2066,jek___
1,2023-02-27T06:57:04.380205Z,1890,Positive,0,@otakresah mt bb,1,70,0.808,2023-02-27T06:57:04.380205Z,2067,jek___
1,2023-02-27T06:57:05.395450Z,1891,Positive,1,@trdknn itu lagi mimpi makan busi NGK,4,71,0.696,2023-02-27T06:57:05.395450Z,2068,jek___
1,2023-02-27T06:57:06.143772Z,1892,Positive,0,@HendraaPd nunggu lu tidur baru gas,0,72,0.426,2023-02-27T06:57:06.143772Z,2069,jek___
1,2023-02-27T06:57:06.897001Z,1893,Positive,0,@aayyiii__ mari kt masukin tiredx,2,73,0.425,2023-02-27T06:57:06.897001Z,2070,jek___
1,2023-02-27T06:57:07.679222Z,1894,Positive,9,@FiersaBesari biasanya lebih besar yang sebelah kiri,236,74,0.471,2023-02-27T06:57:07.679222Z,2071,jek___
1,2023-02-27T06:57:08.807711Z,1895,Positive,0,@sekadarberujar bocahnya siapa lagi lu beginiin tokaaaay,2,75,0.847,2023-02-27T06:57:08.807711Z,2072,jek___
1,2023-02-27T06:57:09.689941Z,1896,Positive,0,@umiklsmu12 leh,1,76,0.582,2023-02-27T06:57:09.689941Z,2073,jek___
1,2023-02-27T06:57:10.528630Z,1897,Positive,201,sosoan pake istilah mau bobo cantik padahal dengkurnya kek paus biru mau kawin,1741,77,0.558,2023-02-27T06:57:10.528630Z,2074,jek___
1,2023-02-27T06:57:11.213969Z,1898,Positive,0,@Amanogawa96 this ini,0,78,0.434,2023-02-27T06:57:11.213969Z,2075,jek___
1,2023-02-27T06:57:12.022362Z,1899,Positive,0,@PrabuKianSantuy (((bapak lu indah))),2,79,0.394,2023-02-27T06:57:12.022362Z,2076,jek___
1,2023-02-27T06:57:12.766725Z,1900,Positive,0,@__papercuts malah nanya diri sendiri lagi lo,5,80,0.365,2023-02-27T06:57:12.766725Z,2077,jek___
1,2023-02-27T06:57:14.130575Z,1901,Negative,281,tiap susah tidur bilangnya lagi ovt. duileh gaya bener ini pengangguran yang kebanyakan tidur pagi siang, gimana ga… https://t.co/ySKFx3aFxs,1707,81,1.11,2023-02-27T06:57:14.130575Z,2078,jek___
1,2023-02-27T06:57:14.985477Z,1902,Positive,0,@heykarez bgini aslinya 😔,4,82,0.584,2023-02-27T06:57:14.985477Z,2079,jek___
1,2023-02-27T06:57:15.943190Z,1903,Positive,0,@Slmnabd__ ngeri amat maenannya, biaya komponnya kalo baret bisa buat kuliah S4,5,83,0.698,2023-02-27T06:57:15.943190Z,2080,jek___
1,2023-02-27T06:57:16.643782Z,1904,Positive,0,@butterflyefct_ muka sih iya,3,84,0.398,2023-02-27T06:57:16.643782Z,2081,jek___
1,2023-02-27T06:57:17.305139Z,1905,Positive,0,@devidefriani sape lu nyimpen2 sgala hah,12,85,0.416,2023-02-27T06:57:17.305139Z,2082,jek___
1,2023-02-27T06:57:18.190967Z,1906,Positive,1,@1727____ gmn cranya keren kek org2 pake kaos overses yha,1,86,0.636,2023-02-27T06:57:18.190967Z,2083,jek___
1,2023-02-27T06:57:18.861469Z,1907,Positive,0,@nasirebus99 warna emas nih, khas rumah2 di kabupaten,0,87,0.412,2023-02-27T06:57:18.861469Z,2084,jek___
1,2023-02-27T06:57:19.477046Z,1908,Positive,0,@ciloqciIiq buat ape usernem lu bgtu,0,88,0.368,2023-02-27T06:57:19.477046Z,2085,jek___
1,2023-02-27T06:57:20.113562Z,1909,Positive,0,@taufiqrrhmnn ga pake aja udeh persis,10,89,0.384,2023-02-27T06:57:20.113562Z,2086,jek___
1,2023-02-27T06:57:20.739602Z,1910,Positive,0,@gocengantigaa ampe meninggal,10,90,0.358,2023-02-27T06:57:20.739602Z,2087,jek___
1,2023-02-27T06:57:21.619296Z,1911,Positive,167,nyobain pake baju oversize warna item malah dikira mau wisuda :'),2269,91,0.634,2023-02-27T06:57:21.619296Z,2088,jek___
1,2023-02-27T06:57:24.510978Z,1912,Negative,18,nah ini baru bikin semangat. ayo gasss

a thread https://t.co/tiCgebnMiP,375,92,1.08,2023-02-27T06:57:22.255112Z,2089,jek___
1,2023-02-27T06:57:27.453753Z,1913,Positive,119,good nike all. have a nice green ya,1668,93,0.539,2023-02-27T06:57:27.453753Z,2090,jek___
1,2023-02-27T06:57:28.737491Z,1914,Positive,0,@kamiiil__ perasaan gue ga enak. buka ndiri aja,19,94,0.937,2023-02-27T06:57:28.737491Z,2091,jek___
1,2023-02-27T06:57:29.442310Z,1915,Positive,0,@ageetarumi kalo dibilang boleh ya boleh2 aja asalkan,4,95,0.424,2023-02-27T06:57:29.442310Z,2092,jek___
1,2023-02-27T06:57:30.091434Z,1916,Positive,0,@Halowarga tapi kan ringan itu hp murah,24,96,0.391,2023-02-27T06:57:30.091434Z,2093,jek___
1,2023-02-27T06:57:30.804456Z,1917,Positive,0,@miiiaw__ buru dah sbelum koit,9,97,0.442,2023-02-27T06:57:30.804456Z,2094,jek___
1,2023-02-27T06:57:31.911499Z,1918,Negative,906,iblis itu disuruh sujud untuk nabi adam gamau dia

antum disuruh sujud dalam sholat untuk Allah juga gamau

iblis n… https://t.co/XARyHUaB5o,4478,98,0.844,2023-02-27T06:57:31.911499Z,2095,jek___
1,2023-02-27T06:57:32.952809Z,1919,Positive,0,@WaffaKhoirul1 cinta cinta tay kotok,13,99,0.777,2023-02-27T06:57:32.952809Z,2096,jek___
1,2023-02-27T06:57:33.686089Z,1920,Positive,0,@Ya_Udahhh (((saat muda))),4,100,0.462,2023-02-27T06:57:33.686089Z,2097,jek___
1,2023-02-27T06:57:34.392098Z,1921,Positive,0,@alfath_cs this energy 🔥,9,101,0.437,2023-02-27T06:57:34.392098Z,2098,jek___
1,2023-02-27T06:57:35.202547Z,1922,Positive,434,cape2 jagain pola hidup biar awet muda gataunya malah mati muda. romantic ❤️,2902,102,0.547,2023-02-27T06:57:35.202547Z,2099,jek___
1,2023-02-27T06:57:36.032490Z,1923,Positive,0,@InilahRestu warteg mana itu,1,103,0.432,2023-02-27T06:57:36.032490Z,2100,jek___
1,2023-02-27T06:57:36.783526Z,1924,Positive,0,@janjijihyo ayo crt breng,5,104,0.465,2023-02-27T06:57:36.783526Z,2101,jek___
1,2023-02-27T06:57:37.506762Z,1925,Positive,0,@irindaf krin qm,1,105,0.434,2023-02-27T06:57:37.506762Z,2102,jek___
1,2023-02-27T06:57:38.136454Z,1926,Positive,0,@andikabp__ mana malem jumat lagi,5,106,0.366,2023-02-27T06:57:38.136454Z,2103,jek___
1,2023-02-27T06:57:38.805127Z,1927,Positive,0,@soderisclan sertifikat vaksinnya mau dicabut,6,107,0.39,2023-02-27T06:57:38.805127Z,2104,jek___
1,2023-02-27T06:57:39.480187Z,1928,Positive,0,@Ozie_ID ini lagi ngobrol sama ketum fifa, bentar ya,5,108,0.424,2023-02-27T06:57:39.480187Z,2105,jek___
1,2023-02-27T06:57:40.236488Z,1929,Positive,0,@fhaefhaa enak,1,109,0.501,2023-02-27T06:57:40.236488Z,2106,jek___
1,2023-02-27T06:57:41.164845Z,1930,Positive,0,@dsyauls koma,9,110,0.482,2023-02-27T06:57:41.164845Z,2107,jek___
1,2023-02-27T06:57:41.958633Z,1931,Positive,0,@avocddle ya hon,1,111,0.357,2023-02-27T06:57:41.958633Z,2108,jek___
1,2023-02-27T06:57:42.855708Z,1932,Positive,41,.,618,112,0.633,2023-02-27T06:57:42.855708Z,2109,jek___
1,2023-02-27T06:57:43.667036Z,1933,Positive,0,@daen34 supra dulu masih pake tromol,2,113,0.552,2023-02-27T06:57:43.667036Z,2110,jek___
1,2023-02-27T06:57:44.380581Z,1934,Positive,0,@Masmasjawaasli EMANG LU GADAI ITU,16,114,0.444,2023-02-27T06:57:44.380581Z,2111,jek___
1,2023-02-27T06:57:44.999419Z,1935,Positive,1,@Khaulahmaryam08 istrinya sendiri itu hei ngapain lu,9,115,0.356,2023-02-27T06:57:44.999419Z,2112,jek___
1,2023-02-27T06:57:45.753325Z,1936,Positive,0,@MRGCNG atur,8,116,0.478,2023-02-27T06:57:45.753325Z,2113,jek___
1,2023-02-27T06:57:46.361015Z,1937,Positive,0,@entartuuur___ hmm,2,117,0.365,2023-02-27T06:57:46.361015Z,2114,jek___
1,2023-02-27T06:57:46.976504Z,1938,Positive,0,@RayyanAzzuhri BUKAN,0,118,0.362,2023-02-27T06:57:46.976504Z,2115,jek___
1,2023-02-27T06:57:47.672955Z,1939,Positive,0,@elkunil_ mengkudu,1,119,0.396,2023-02-27T06:57:47.672955Z,2116,jek___
1,2023-02-27T06:57:48.346664Z,1940,Positive,0,@pawwwpatrols tida usah,5,120,0.373,2023-02-27T06:57:48.346664Z,2117,jek___
1,2023-02-27T06:57:48.952007Z,1941,Positive,0,@mhdarieff_ iri dengki jasad,50,121,0.354,2023-02-27T06:57:48.952007Z,2118,jek___
1,2023-02-27T06:57:49.580267Z,1942,Positive,0,@Fjdkdkdp ler,0,122,0.369,2023-02-27T06:57:49.580267Z,2119,jek___
1,2023-02-27T06:57:50.386072Z,1943,Positive,0,@hellobeyyy (((ikut mertua))),11,123,0.526,2023-02-27T06:57:50.386072Z,2120,jek___
1,2023-02-27T06:57:51.013498Z,1944,Positive,0,@deqqa_ bagian apa?,0,124,0.368,2023-02-27T06:57:51.013498Z,2121,jek___
1,2023-02-27T06:57:51.664466Z,1945,Positive,0,@J__S__14 tinggal pake celemmk tuh,1,125,0.363,2023-02-27T06:57:51.664466Z,2122,jek___
1,2023-02-27T06:57:52.748473Z,1946,Positive,0,@AaronRenton tigain,0,126,0.585,2023-02-27T06:57:52.748473Z,2123,jek___
1,2023-02-27T06:57:53.386084Z,1947,Positive,0,@pleriana ntap,0,127,0.367,2023-02-27T06:57:53.386084Z,2124,jek___
1,2023-02-27T06:57:54.029783Z,1948,Positive,0,@Halowarga iya,8,128,0.361,2023-02-27T06:57:54.029783Z,2125,jek___
1,2023-02-27T06:57:54.704165Z,1949,Positive,0,@iiidaaknwt ahaha,0,129,0.402,2023-02-27T06:57:54.704165Z,2126,jek___
1,2023-02-27T06:57:55.279238Z,1950,Positive,0,@BMariansyah_16 bji juga?,4,130,0.313,2023-02-27T06:57:55.279238Z,2127,jek___
1,2023-02-27T06:57:55.935479Z,1951,Positive,0,@azwarpahreza .....,1,131,0.382,2023-02-27T06:57:55.935479Z,2128,jek___
1,2023-02-27T06:57:56.529484Z,1952,Positive,0,@PrabuKianSantuy tokay,14,132,0.328,2023-02-27T06:57:56.529484Z,2129,jek___
1,2023-02-27T06:57:57.105743Z,1953,Positive,45,beri kata2 yang menggambarkan panasnya di tempat antum,1210,133,0.279,2023-02-27T06:57:57.105743Z,2130,jek___
1,2023-02-27T06:57:58.391935Z,1954,Negative,1,@kamiiil__ @traahit samawa mil dan istri. sehat2 ya kalian https://t.co/LAoMViYWlT,69,134,0.975,2023-02-27T06:57:58.391935Z,2131,jek___
1,2023-02-27T06:57:59.141999Z,1955,Positive,0,@GrabID yoi dhooong mantep abisss #KeepKalem gas lachhh,8,135,0.473,2023-02-27T06:57:59.141999Z,2132,jek___
1,2023-02-27T06:58:00.095506Z,1956,Positive,0,@notaniceboy tuker tambah ama kanal c,1,136,0.515,2023-02-27T06:58:00.095506Z,2133,jek___
1,2023-02-27T06:58:01.264259Z,1957,Positive,0,@yudha_khan goku,0,137,0.605,2023-02-27T06:58:01.264259Z,2134,jek___
1,2023-02-27T06:58:02.665658Z,1958,,0,@Aresedehh khaaan,11,138,0.906,2023-02-27T06:58:02.665658Z,2135,jek___
1,2023-02-27T06:58:07.165264Z,1959,Positive,0,@heykarez menang,1,139,1.766,2023-02-27T06:58:04.369126Z,2136,jek___
1,2023-02-27T06:58:09.206093Z,1960,Positive,0,@bitalittle__ dah ada yg punya sori,0,140,0.54,2023-02-27T06:58:09.206093Z,2137,jek___
1,2023-02-27T06:58:12.158073Z,1961,Positive,0,@awanpekat njis keciduk lagi dah,8,141,0.683,2023-02-27T06:58:12.158073Z,2138,jek___
1,2023-02-27T06:58:13.868463Z,1962,Positive,0,@SayurKohl_ taeee bangun pak,12,142,0.619,2023-02-27T06:58:13.868463Z,2139,jek___
1,2023-02-27T06:58:14.725586Z,1963,Positive,0,@ilyasmnasution lo laki gausah gini2,19,143,0.532,2023-02-27T06:58:14.725586Z,2140,jek___
1,2023-02-27T06:58:15.634525Z,1964,Positive,0,@whatsupram editan,11,144,0.589,2023-02-27T06:58:15.634525Z,2141,jek___
1,2023-02-27T06:58:16.362783Z,1965,Positive,32,@cursedkidd mulutmu pondasi berhala,395,145,0.42,2023-02-27T06:58:16.362783Z,2142,jek___
1,2023-02-27T06:58:17.210860Z,1966,Positive,0,@RahmatFakhranaa harusnya di luar ga sih pitanya,11,146,0.537,2023-02-27T06:58:17.210860Z,2143,jek___
1,2023-02-27T06:58:18.344445Z,1967,Positive,0,@megazol_ hanya bisa pasrah dengan nasib ini,5,147,0.522,2023-02-27T06:58:18.344445Z,2144,jek___
1,2023-02-27T06:58:19.135257Z,1968,Positive,0,@iiidaaknwt jujur juga lu jadi orang,7,148,0.461,2023-02-27T06:58:19.135257Z,2145,jek___
1,2023-02-27T06:58:19.886533Z,1969,Positive,0,@snurhasanaah iya,0,149,0.46,2023-02-27T06:58:19.886533Z,2146,jek___
1,2023-02-27T06:58:20.687332Z,1970,Positive,0,@Der_aboutlife follow yutupku,0,150,0.514,2023-02-27T06:58:20.687332Z,2147,jek___
1,2023-02-27T06:58:22.119688Z,1971,Positive,0,@sunjani_erlina dah tau,1,151,0.98,2023-02-27T06:58:22.119688Z,2148,jek___
1,2023-02-27T06:58:22.971285Z,1972,Positive,1,@fckworkkk udah diusahain sebiasa mungkin tapi hasilnya selalu nihil. maaf 😔,17,152,0.574,2023-02-27T06:58:22.971285Z,2149,jek___
1,2023-02-27T06:58:24.147590Z,1973,Negative,58,mf ru bgn https://t.co/t9o5WoNvwB,2914,153,0.881,2023-02-27T06:58:24.147590Z,2150,jek___
1,2023-02-27T06:58:25.746124Z,1974,Positive,0,@MubasShidqi lef languange tay kotok,2,154,1.307,2023-02-27T06:58:25.746124Z,2151,jek___
1,2023-02-27T06:58:26.640873Z,1975,Positive,0,@kaaaaell_ dbd,1,155,0.61,2023-02-27T06:58:26.640873Z,2152,jek___
1,2023-02-27T06:58:27.417232Z,1976,Positive,0,@Alfin_Nur_F____ udeeeh,1,156,0.496,2023-02-27T06:58:27.417232Z,2153,jek___
1,2023-02-27T06:58:28.320910Z,1977,Positive,0,@HaIfbloodcringe nagitudong,4,157,0.596,2023-02-27T06:58:28.320910Z,2154,jek___
1,2023-02-27T06:58:29.077183Z,1978,Positive,0,@junbgdd hm,1,158,0.475,2023-02-27T06:58:29.077183Z,2155,jek___
1,2023-02-27T06:58:29.859238Z,1979,Positive,0,@sefryamin54 🤭,2,159,0.472,2023-02-27T06:58:29.859238Z,2156,jek___
1,2023-02-27T06:58:30.588460Z,1980,Positive,0,@NagisaShiiota iya,3,160,0.43,2023-02-27T06:58:30.588460Z,2157,jek___
1,2023-02-27T06:58:31.433655Z,1981,Positive,0,@KurihingMeratus tinggal ngetwit doang itu susah amat,6,161,0.562,2023-02-27T06:58:31.433655Z,2158,jek___
1,2023-02-27T06:58:32.413727Z,1982,Positive,703,bekerja keras lah demi bosmu yang sengak itu sampai kamu dapet surat keterangan sakit dari dokter. sweet,3570,162,0.674,2023-02-27T06:58:32.413727Z,2159,jek___
1,2023-02-27T06:58:33.186798Z,1983,Positive,0,@LArsitek87 dih iri,2,163,0.489,2023-02-27T06:58:33.186798Z,2160,jek___
